"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791874791874792
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87685321954155,0.792496392496392
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833063209076175,0.873201488046392,0.785325785325785
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846869034432373,0.833553201914741,0.873160457355435,0.785214785214785
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832324524012504,0.842638636845702,0.839791187667257,0.874350347393183,0.789499389499389
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809480909480909,0.83255186132424,0.843593127666093,0.838302363273152,0.874199901526342,0.788322788322788
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858337854946645,0.808177820677821,0.836345552713839,0.842402960099927,0.830330556707248,0.870725969691996,0.78041958041958
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764857337021545,0.858759872189064,0.809942084942085,0.837737993748224,0.840965331950696,0.835456635633787,0.875020515345478,0.779487179487179
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809728450423518,0.765556055399753,0.85848103936818,0.809706134706135,0.840039784029554,0.840800358228654,0.835042026308846,0.874186224629356,0.780574980574981
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785969724823347,0.808001162597575,0.764579763967189,0.857900765659854,0.809062634062634,0.834754191531685,0.838243265536989,0.829595567449399,0.87080803107391,0.786080586080586
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811763829760826,0.783750789912104,0.806896694901179,0.764206476066503,0.856536745644179,0.807561132561133,0.832239272520602,0.836381419245363,0.825524857713618,0.868387220307457,0.785658785658786
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725098562152134,0.810677804118209,0.781625208249555,0.8064565686763,0.762598466648162,0.856627177910412,0.805877305877306,0.829610684853652,0.835627253658881,0.824771022577362,0.868797527217025,0.784482184482184
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805200761811574,0.731601731601732,0.809604190197222,0.779779686333084,0.80450506560372,0.762828182279353,0.861103575088925,0.806467181467181,0.829951690821256,0.84333388324574,0.823621423994572,0.870767000382953,0.789121989121989
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777432633785388,0.81040763908303,0.72823902288188,0.812899502289963,0.785366519216407,0.807710513203787,0.764330905366731,0.857569180683668,0.807818532818533,0.835421994884911,0.837288774716599,0.826391768120312,0.869262541714536,0.785481185481186
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825814536340852,0.774469446338527,0.807070345261392,0.729640151515151,0.812347180677432,0.782364853219969,0.799165421026408,0.764627621390354,0.852889310906131,0.804633204633205,0.839116226200625,0.829841389550093,0.822754513587878,0.861617156299579,0.788011988011988
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756920722375268,0.826286443957996,0.781044018486249,0.806572372099525,0.735505565862709,0.813669029031017,0.795628195553513,0.808325029064939,0.763842759650449,0.854637668053295,0.808429858429858,0.847250639386189,0.835132332492753,0.8231125852776,0.862588215985557,0.778732378732379
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805206690696103,0.754355677992042,0.821020113575077,0.77937722554739,0.804807625104836,0.731891620284477,0.805402822425499,0.794098638478773,0.804247633283508,0.764723336236684,0.847079037800687,0.803517803517804,0.846895424836601,0.832940538757041,0.811842749990577,0.857008042015428,0.773004773004773
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735086935240163,0.817709506645641,0.756835016835017,0.822213762253736,0.794647742674108,0.802108086385239,0.737138605442177,0.806296466382852,0.784454529786867,0.797712174057466,0.762694181494492,0.849490564900223,0.80787752037752,0.837517760727479,0.840387923923546,0.810956993705477,0.861753925269435,0.784393384393384
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737194572913682,0.722381834046266,0.818343095291732,0.757177838996021,0.824125186383681,0.792644223889015,0.795643171652223,0.732355442176871,0.799792724248781,0.777101166197507,0.796067928915463,0.761832747877523,0.852678302284922,0.801512226512227,0.829063654447286,0.847422874784945,0.807413968565075,0.857090103397341,0.791475191475192
NA,NA,NA,NA,NA,NA,NA,NA,0.769826255553046,0.735112348053862,0.711230287939731,0.801046125253435,0.73465564738292,0.798947527045462,0.787589127122425,0.781835336874476,0.728828463203463,0.762650647271283,0.735059889699546,0.753865636937386,0.741029126027738,0.8075299933683,0.752102102102102,0.791943734015345,0.82438547288539,0.708473106931514,0.820374473439466,0.742601842601843
NA,NA,NA,NA,NA,NA,NA,0.762799590911112,0.766343837060462,0.729658658371874,0.712634871991317,0.795794379364722,0.733229262320171,0.795180197328765,0.785004756252578,0.78145967291026,0.727446660482375,0.756693020888928,0.735368673522146,0.751175053977745,0.742790279200207,0.80936124675951,0.752445302445302,0.792298948564933,0.821993353915769,0.707681580038446,0.827582198150884,0.74040404040404
NA,NA,NA,NA,NA,NA,0.734616755793226,0.762212637289341,0.776311083502748,0.727888511439447,0.70532997084424,0.804664620410002,0.730547903275176,0.791484248596174,0.773122542953591,0.774378844003355,0.713580318491033,0.751551465203738,0.718816424426955,0.725631124397941,0.717066914249069,0.802917947790438,0.756622694122694,0.781507530548451,0.797936650090736,0.719271795258377,0.815355052245746,0.736985236985237
NA,NA,NA,NA,NA,0.715588092239003,0.736589423648247,0.767290675441327,0.783850048942098,0.725207710882822,0.702265423822597,0.80417182924082,0.727144168962351,0.789810761079915,0.77361079543063,0.768176020408163,0.712594696969697,0.748957415383088,0.709703711150687,0.719452748712838,0.709026867157365,0.802789835413275,0.747935435435435,0.77580988917306,0.794990690768542,0.715238777279409,0.808749111001696,0.739449439449439
NA,NA,NA,NA,0.714784312524875,0.707706122245364,0.727676767676768,0.739321446040286,0.742272795723214,0.708355502803585,0.700110664198004,0.794337125478711,0.732194674012856,0.771168427397608,0.743052924884882,0.773238747553816,0.71900123685838,0.756084846529062,0.726848394324123,0.724223550905165,0.713487178996334,0.751107795261349,0.71969111969112,0.76926683716965,0.750760057505126,0.686687271493724,0.753255101482576,0.604129204129204
NA,NA,NA,0.728796584260187,0.714753696843523,0.700584912013768,0.715603089720737,0.744870825737027,0.747449363752729,0.687533254205378,0.682893868777799,0.80440414507772,0.723905723905724,0.762793058595857,0.76039430596594,0.752350083869164,0.725572047000618,0.738187143938736,0.702397024185672,0.710106294635443,0.722053657742852,0.737542955326461,0.709180609180609,0.739229894856493,0.743300888501332,0.662790697674419,0.732890201871,0.593450993450994
NA,NA,0.739560053412046,0.715302303515893,0.713475492147078,0.721636755920831,0.768467023172905,0.733878785183868,0.774743995181086,0.720045635001842,0.717955266126115,0.792661635503492,0.749917355371901,0.80885362139526,0.77582476786962,0.793153305842885,0.715899427952999,0.79847708175601,0.795671281668294,0.795611194153795,0.765757056577046,0.839897208657382,0.801276276276276,0.822612958226769,0.819235935990196,0.819965323583732,0.85750041030691,0.765545565545566
NA,0.717094594594595,0.758844613114063,0.710909634002776,0.702277806692588,0.706945362483319,0.763065953654189,0.736351104984659,0.753896543934945,0.702779028363279,0.69048075081402,0.779328114440189,0.757728803183349,0.780313124583611,0.760200688604356,0.752883002516075,0.704922309833024,0.774963075128151,0.760771528695352,0.769216077063611,0.742651492673029,0.819956893953096,0.761593736593737,0.803182722364308,0.79851995003653,0.797651803550564,0.82667268450134,0.706715506715507
