"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568047337278107
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727494221879815,0.565680473372781
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750568145883841,0.727301617873652,0.570414201183432
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745305563004678,0.748965953409929,0.726251926040062,0.573372781065089
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746411989669917,0.742296117517356,0.747152946136819,0.726675654853621,0.574556213017752
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.721344665701921,0.745485628806496,0.740973153362534,0.747325814272162,0.724932588597843,0.576331360946746
"8",NA,NA,NA,NA,NA,NA,NA,0.732739002479403,0.722125974087737,0.744248800972528,0.738243794880963,0.741018235480131,0.726868258859784,0.585207100591716
"9",NA,NA,NA,NA,NA,NA,0.726058987215357,0.731056216183312,0.719907737670614,0.742784162958871,0.736998301600072,0.741882576156846,0.726223035439137,0.58698224852071
"10",NA,NA,NA,NA,NA,0.738223151203165,0.72251810787713,0.729410304856492,0.716762122169456,0.740297403165553,0.732058043562468,0.741203752503426,0.720290832049307,0.593491124260355
"11",NA,NA,NA,NA,0.762167846809807,0.7378603879839,0.721133817943127,0.725731587683994,0.71692008234311,0.738462825612315,0.730484788891869,0.73693686096764,0.723555469953775,0.606508875739645
"12",NA,NA,NA,0.718968940493469,0.757856517435663,0.737951695732967,0.719159200924593,0.72299815742217,0.715185917425895,0.72956915651769,0.729137987545067,0.738539053441552,0.732559707241911,0.595266272189349
"13",NA,NA,0.700166999258451,0.713361393323657,0.749767778285366,0.733308573304082,0.70561850572509,0.706127566322266,0.70784841258518,0.71501752928772,0.718345698876672,0.735608727732687,0.727706086286595,0.592307692307692
"14",NA,0.685487551560854,0.626278368270543,0.648577068214804,0.699267169179229,0.635984383907133,0.644407002903976,0.669493454985613,0.633252994449313,0.645943164384197,0.638765233455499,0.680556551069885,0.633460130970724,0.627218934911243
