"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775836142953473
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79328318453543,0.776035064059339
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743766733118996,0.791311937669729,0.77695886716116
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790675664022077,0.739829955446637,0.790338461004538,0.774546527309508
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821753737277354,0.790010923306887,0.740760373413435,0.788957894097539,0.773678354686446
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.794874157374157,0.821849518563498,0.789880131079683,0.741352341174879,0.788308909654077,0.772474713418746
"8",NA,NA,NA,NA,NA,NA,NA,0.815554758692918,0.794595382095382,0.821488983344899,0.789690410486375,0.740295164430036,0.788270387048075,0.77307821982468
"9",NA,NA,NA,NA,NA,NA,0.765652187827569,0.815137828776987,0.793887418887419,0.821512476867916,0.789522967690008,0.738666506190907,0.788896466158238,0.77324173971679
"10",NA,NA,NA,NA,NA,0.756604402986566,0.765116021125757,0.813571139912004,0.793035343035343,0.821134773305575,0.790283287340462,0.735282857731837,0.789640542439939,0.776272757923129
"11",NA,NA,NA,NA,0.750305898948564,0.752090273368864,0.763100244760319,0.808438490742164,0.785691110691111,0.820326957552626,0.785944147407152,0.737889308430568,0.781970726289943,0.767773095077546
"12",NA,NA,NA,0.747396024838541,0.727923635303856,0.732777054417052,0.749351930967332,0.784238057021214,0.768414918414918,0.802145681529031,0.78117238703001,0.735601675264497,0.757431305690761,0.735343897505057
"13",NA,NA,0.749990249538681,0.75394631401591,0.696825505024329,0.710537106867964,0.736522728777246,0.783489575329133,0.774117999117999,0.797890191273421,0.779774994250891,0.722112535333476,0.759310757698014,0.737707349966285
"14",NA,0.727728554135359,0.745683186385756,0.752673728117038,0.693918995554794,0.705009546311911,0.734712563354694,0.781106102260244,0.770635670635671,0.796607987074948,0.776961524088766,0.719655890463344,0.756753689580676,0.7356995954147
