"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763451006512729
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762873464571153,0.739490822972173
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770061308474007,0.76235048007295,0.724208111308467
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792121120858636,0.76837538542754,0.762052781204742,0.71839846062759
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756052878594593,0.789146452596133,0.766687062832188,0.756887303545567,0.588717436352872
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.740748515929273,0.755746368608705,0.787853513652449,0.763484624890521,0.755374671458456,0.574544849023091
"8",NA,NA,NA,NA,NA,NA,NA,0.74147696122671,0.735804437281466,0.752661409122345,0.784151242701256,0.754408571188617,0.74954942874001,0.55665334517466
"9",NA,NA,NA,NA,NA,NA,0.716958282580401,0.740232325828972,0.735525412924281,0.751921930052056,0.784774345806646,0.752958763752415,0.74918468057716,0.561334369449378
"10",NA,NA,NA,NA,NA,0.732000214265487,0.715016796577911,0.737313996867509,0.732769584121343,0.751091914444725,0.780809852298601,0.747974420808888,0.750839457168911,0.576302545885139
"11",NA,NA,NA,NA,0.735603890719,0.725069980878598,0.710252525991735,0.737458941517172,0.727891952450437,0.753368908351324,0.781295353468218,0.756726295456454,0.77092742584348,0.808226021314387
"12",NA,NA,NA,0.724846888840557,0.729102311708878,0.718014908709119,0.701531966080508,0.7216912372754,0.709028423422374,0.742451224170802,0.765578875766222,0.731020408163265,0.756643244113072,0.779695825932504
"13",NA,NA,0.72300488382572,0.713302381564378,0.718954930492929,0.709925602137007,0.686889914518239,0.705551132548536,0.689257932868963,0.72559960012056,0.752409332007508,0.715473251028807,0.730413560049348,0.743228241563055
"14",NA,0.693986444802656,0.688555364958085,0.662700935226194,0.674659987279907,0.669066115134752,0.665690096225933,0.642349306154271,0.641004455918387,0.665697706680311,0.668325462329523,0.628521277999736,0.663097409215255,0.702884473060983
