"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692307692307692
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680546995377504,0.489940828402367
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738205966058817,0.720266756548536,0.638461538461538
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745806144036233,0.751639085063772,0.680036594761171,0.467455621301775
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737337382844079,0.759709186257859,0.738435754189944,0.74002311248074,0.624852071005917
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.706309574764419,0.747028387567612,0.741047644587468,0.751141562137662,0.69143875192604,0.554437869822485
"8",NA,NA,NA,NA,NA,NA,NA,0.728673390788047,0.718238115620053,0.73358506694192,0.736694377402342,0.737092863919047,0.712663713405239,0.58698224852071
"9",NA,NA,NA,NA,NA,NA,0.723330484598962,0.725396201058721,0.724276270645225,0.745208426154221,0.744226930067638,0.742000632444398,0.723228043143297,0.569230769230769
"10",NA,NA,NA,NA,NA,0.721552700611762,0.697892803100463,0.729400354467959,0.693783163143985,0.729286913817191,0.741384344924168,0.756993780963424,0.68518875192604,0.501183431952663
"11",NA,NA,NA,NA,0.760100692858231,0.715549833054886,0.698817287809908,0.721768991779808,0.700786064175991,0.735985137905799,0.730776794493609,0.734019184146727,0.707241910631741,0.579881656804734
"12",NA,NA,NA,0.705003193033382,0.723228833561748,0.717437990933387,0.679804964596622,0.7155122460017,0.690252838187636,0.722531737183661,0.737978606120199,0.724772847053863,0.676425269645609,0.389940828402367
"13",NA,NA,0.701711055779628,0.711536139332366,0.748365882442516,0.741046288093223,0.712969973473192,0.712190279523973,0.714134548098024,0.719420515415491,0.721545841899824,0.734137240434279,0.728553543913713,0.590532544378698
"14",NA,0.685487551560854,0.626278368270543,0.648577068214804,0.699267169179229,0.635984383907133,0.644407002903976,0.669493454985613,0.633252994449313,0.645943164384197,0.638765233455499,0.680556551069885,0.633460130970724,0.627218934911243
