"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850105461811723
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765542026497881,0.843435464772054
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783265546077337,0.741632248028751,0.846155269390172
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772211678509953,0.743188760513024,0.734280963364265,0.807004884547069
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753745438126746,0.766646588899937,0.744959867544902,0.713219438931502,0.870411486086442
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.745013564713531,0.748388960734012,0.792254179334266,0.783855355193224,0.764911763128252,0.838162374185909
"8",NA,NA,NA,NA,NA,NA,NA,0.731739266119844,0.729617191288934,0.751307084746872,0.766529757067677,0.742426903742097,0.735101646730676,0.550223875074008
"9",NA,NA,NA,NA,NA,NA,0.716171442727654,0.738272776846114,0.735173323365404,0.745306775754432,0.784253795087351,0.758952836866669,0.736635734592072,0.553970544701006
"10",NA,NA,NA,NA,NA,0.72272241782913,0.715458055716827,0.724333978876403,0.716294175326834,0.727616447509836,0.74152514870096,0.704335744879963,0.727286380947272,0.576080521018354
"11",NA,NA,NA,NA,0.733893011471573,0.727974107495157,0.71492640350492,0.746141135199895,0.739621035153892,0.753059039751965,0.787149926395946,0.772057733146169,0.773244649466288,0.837977353463588
"12",NA,NA,NA,0.722493747034166,0.736233799944874,0.7222765730387,0.721475496836649,0.726246588162469,0.722059178577706,0.747646634143606,0.760975052509418,0.729178034529508,0.733387866759642,0.54820714920071
"13",NA,NA,0.716042088423087,0.708445087590952,0.719008153882795,0.70348984911653,0.692267963556549,0.711330032641425,0.69760192595636,0.734432315469014,0.756854134159291,0.731635652497331,0.737679021616693,0.750647572528123
"14",NA,0.693986444802656,0.688555364958085,0.662700935226194,0.674659987279907,0.669066115134752,0.665690096225933,0.642349306154271,0.641004455918387,0.665697706680311,0.668325462329523,0.628521277999736,0.663097409215255,0.702884473060983
