"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0190553029810088
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0290190668191524,0.0196720024354719
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0342690754485997,0.0294351256648783,0.0203288012024122
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0562746885680657,0.0343909490574493,0.0295793749527113,0.0200593991512173
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0491178002079358,0.0555964344279332,0.0342493891347995,0.029439757925642,0.0204277244098825
NA,NA,NA,NA,NA,NA,NA,NA,0.0495951675658945,0.0493301765118864,0.0552984334602185,0.0342330263172468,0.0293986134999066,0.0201542426635049
NA,NA,NA,NA,NA,NA,NA,0.0610644054249633,0.0495180680609449,0.0493864383910131,0.0553342649240401,0.033912840125575,0.0290836522698804,0.0195774949518918
NA,NA,NA,NA,NA,NA,0.066626126388841,0.0613691364596178,0.0495213395003491,0.0493724235825488,0.0556004193233478,0.0337891234608945,0.0289183717541696,0.0190563654215228
NA,NA,NA,NA,NA,0.0558245546476949,0.0667889011675406,0.0615973012887599,0.0496682101731696,0.0494015183505076,0.0557969090744982,0.0340207995208592,0.0288821704463619,0.0188871597643626
NA,NA,NA,NA,0.0491045806053135,0.0557880766662447,0.0667464982354833,0.0619772872115019,0.0500726433689124,0.0493172366631372,0.0566448074527266,0.0343318867922932,0.0294320623995149,0.0190399950415806
NA,NA,NA,0.061407688062029,0.0493515920810461,0.0563194681869758,0.0672571204130949,0.0623106622817824,0.0507761313912598,0.0493067258632926,0.0570080632487452,0.03399202449581,0.0292691501085527,0.0194296309577067
NA,NA,0.0507738370400188,0.0623040246338211,0.0505859760817648,0.0575543131552577,0.0693523736890368,0.0649987392847581,0.0520127491855983,0.0506810271186741,0.0581771876493385,0.0336748258139905,0.0289748911788387,0.0173651476821457
NA,0.0334566276345804,0.0515656060072394,0.0617544286913232,0.0526226620882867,0.0576122600332763,0.0692976162570169,0.064857348332927,0.0524635200487089,0.0500268709369537,0.0585833306848095,0.0343263623453917,0.0298125192296132,0.018297263937572
