"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0420198677872249
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078520763742899,0.0627487048190852
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126134167479505,0.0800149473959763,0.0820996417495287
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0947734663676862,0.126657491005789,0.0813899842409458,0.0544894150313964
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140543388455781,0.0957563988765375,0.127028272717954,0.0838835526030429,0.113115896522615
NA,NA,NA,NA,NA,NA,NA,NA,0.117920984368913,0.141825257981209,0.0968606682347732,0.127922789181501,0.0840108706188169,0.116612339913267
NA,NA,NA,NA,NA,NA,NA,0.148005547539047,0.118349118970995,0.143672028384439,0.0966840468287109,0.129420446898462,0.0858828534653654,0.181160994406182
NA,NA,NA,NA,NA,NA,0.135156290713362,0.148920865767812,0.118651690360962,0.143469783123598,0.0953956270744396,0.129207806379702,0.0823408042491941,0.142746568880977
NA,NA,NA,NA,NA,0.131473195819522,0.136401169716568,0.152461935942893,0.119361087148425,0.145690585423526,0.095435877609387,0.132091070981443,0.0821958218264373,0.19043368918547
NA,NA,NA,NA,0.0908686154348122,0.13182466876144,0.136867983714119,0.153011928810953,0.120622196347144,0.146148514234527,0.0947699010936823,0.131604334293518,0.0748319279275471,0.104055219943711
NA,NA,NA,0.12242136437848,0.0908579493374941,0.136266687287318,0.143009342662614,0.162393416429271,0.124363541444556,0.149102233251782,0.093752303929905,0.133851360478679,0.0709991409385654,0.0530581088234278
NA,NA,0.0821432039689551,0.123496127288812,0.0914573249660236,0.135635168386664,0.1418470559425,0.158745197682862,0.122392874483508,0.14839020720758,0.0934249140981878,0.131815644350271,0.0744814974219915,0.0279654425412474
NA,0.0862759929162859,0.0829343103109701,0.122635174057418,0.0914975250214864,0.135531996377612,0.139285593463598,0.156471709724018,0.122085158468504,0.149086118939174,0.0962985040648919,0.134966307338874,0.0762547602425505,0.0305944349340261
