"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087157030278847
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091566209564397,0.0881713733414709
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0875115787584949,0.092667378064804,0.0878177032613415
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11950410106547,0.0880956348493941,0.0934155115662147,0.0882203715219542
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10658424321809,0.12073586288652,0.0889240734288019,0.0956999135853799,0.0936574494313284
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118638310695566,0.106643304837886,0.120763562965354,0.089669742568894,0.0963687686066551,0.0934348485881079
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115357322108656,0.119445765948682,0.107020208115942,0.121757241342677,0.0914899713642923,0.0978480614444488,0.0934951467935748
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158413487560326,0.115049484024731,0.119207161350288,0.106423987372594,0.121792999413054,0.0905170166604655,0.0963427631939898,0.0937383258212606
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133456714779874,0.15840117138056,0.115284235947775,0.119391321429213,0.10677172921057,0.122582253587925,0.0913974568210559,0.0978755447215228,0.0947247729833354
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143410580787014,0.134277697939658,0.159158533565878,0.116416724040398,0.120159981504373,0.109700509089813,0.123886695838917,0.0938826611202311,0.102047191187165,0.0964001223479658
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13501487128028,0.144884734698364,0.134812167300138,0.159475902678723,0.117678013484487,0.121080384900346,0.111399703123752,0.124903220991943,0.0954416115465789,0.103947402509601,0.0975169279005097
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166418387203169,0.135446846093136,0.145711637726775,0.134711899603828,0.160051187332995,0.117717822771193,0.121548579658493,0.111629681789422,0.125122390244445,0.0956122828201716,0.10423910362338,0.0973682307053658
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153574006477425,0.165137351080992,0.136036349723886,0.14469998932341,0.135278623124116,0.159340359011106,0.116217969368566,0.120126702234093,0.108768642734044,0.121916874348456,0.0927364107169786,0.0989175260764249,0.0891842959242534
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148180971421937,0.150354393373094,0.165535155733923,0.134896258190936,0.144747201798036,0.135513012360112,0.159774742156055,0.11789351518266,0.121652284670589,0.111610749749741,0.1256034943663,0.0964335375685409,0.105292634480852,0.0985517832932991
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147693383946255,0.148917719417141,0.152711022267429,0.165065781269826,0.135287624207216,0.144575363889535,0.138552359624471,0.160009287983529,0.120045848012148,0.12297171094765,0.11397488292584,0.12851386938728,0.0997509041900371,0.109476639493877,0.0999178601372319
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188041508673161,0.146533494768569,0.148166538278307,0.153193725698176,0.164022950269942,0.134638116684727,0.14194497688925,0.13770046040092,0.159189193598441,0.118359787381957,0.122168604103961,0.109472910147666,0.125927859595821,0.0978088544790103,0.104916835355079,0.0948459534783016
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157756574422345,0.188021312973947,0.147189532521276,0.148836210797735,0.153898114737428,0.16450858520804,0.136134178110272,0.1431193393344,0.139085506416357,0.159140278731219,0.120869809861728,0.124405741420455,0.111837005968167,0.127512170054018,0.100598531015093,0.107558397091326,0.0970484117877317
