"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200853961676303
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21957914992936,0.164646431515986
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230766232180582,0.237233175062891,0.171756809400556
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211743230734907,0.222717603914575,0.239992574046647,0.18649464815189
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230788611441795,0.211257225716116,0.223515813769197,0.229686352493045,0.178749672714484
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.219353821574253,0.224423915581107,0.232738158845045,0.238048925367917,0.255143651153128,0.213629964303215
"8",NA,NA,NA,NA,NA,NA,NA,0.217762663894749,0.213336747214648,0.239176242386099,0.229385705920831,0.231814696220304,0.229461655172638,0.198585166131033
"9",NA,NA,NA,NA,NA,NA,0.199037021552896,0.200821881378562,0.195072576900419,0.206435418803113,0.20625396691427,0.213421309343359,0.213294267878004,0.165955021755997
"10",NA,NA,NA,NA,NA,0.234870408091859,0.212069500502268,0.213289426125063,0.206663567248681,0.22197134114962,0.22060658936897,0.216084790387515,0.224261763382542,0.185434799687619
"11",NA,NA,NA,NA,0.205336512872371,0.247928035746111,0.227826952904222,0.229480327167853,0.229492188643159,0.23850015584942,0.243178842279047,0.235805125480922,0.247307036482009,0.212890311502997
"12",NA,NA,NA,0.200103871549211,0.198320090198555,0.214454333812352,0.195016325851279,0.176916696079758,0.169910672116759,0.182046061452276,0.174213414624729,0.177562929793488,0.177842496976437,0.1402632479466
"13",NA,NA,0.195159130854226,0.172941149140265,0.163000216943288,0.172054784019918,0.171722164596355,0.1823589736326,0.158586615163371,0.171346439986768,0.166597078369935,0.161006306721696,0.147795427850341,0.111366725560357
"14",NA,0.182196900272307,0.195998939207386,0.189594083931393,0.186550143720843,0.237066721890473,0.222530498129482,0.249623823753205,0.25040457143086,0.266778240269829,0.262721593545892,0.242714452328917,0.255091326329895,0.2481428906278
