"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123222592621883
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179928782496267,0.114754491023888
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214700678962653,0.216910052701654,0.120689394985739
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210157916717827,0.22765670593442,0.222266436144746,0.153236588073595
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219228230172074,0.248281621511215,0.25302778001716,0.271948806235849,0.130829052637411
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.196852317901509,0.219996925102623,0.20728503358142,0.222383953645322,0.212687941111409,0.140082127211413
"8",NA,NA,NA,NA,NA,NA,NA,0.207958467532019,0.202816338336687,0.215688442113095,0.22176151987295,0.240541259598309,0.243621160858845,0.397794708215055
"9",NA,NA,NA,NA,NA,NA,0.230205234205266,0.222901606292725,0.221814324822602,0.233954343444005,0.234963362351784,0.258657397640304,0.271130584937188,0.395176101602268
"10",NA,NA,NA,NA,NA,0.224098248550078,0.256818406319257,0.243419618731478,0.24898629947071,0.255752274623352,0.275390951613452,0.299490013214566,0.310080514747088,0.423254587693734
"11",NA,NA,NA,NA,0.200291515947921,0.211579788531759,0.221527415680694,0.210241452556301,0.205448425611666,0.231075874262321,0.215101422553258,0.234441615923904,0.215392626947811,0.148919096136249
"12",NA,NA,NA,0.226664930775837,0.207641579219882,0.218680764622063,0.226368330083119,0.22259669209213,0.218532853652245,0.232563205886662,0.240876106733169,0.263684214581165,0.263096627274028,0.418175200210435
"13",NA,NA,0.209348087875854,0.217687550570017,0.205751299680472,0.221131046618109,0.23257708930492,0.226960539677149,0.229922016129413,0.227521753061632,0.231265563541734,0.255622865573946,0.253706318884198,0.163983981179615
"14",NA,0.204883976603413,0.195182302124468,0.199616746652763,0.199647913361865,0.210059636756389,0.197382710726557,0.209841979099786,0.205802099971962,0.205543067153059,0.200462928018051,0.210907284976481,0.186966417027025,0.13204030719282
