"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657396449704142
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780720497825761,0.641420118343195
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704081632653061,0.76469485680012,0.701183431952663
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747410765018854,0.718914581961817,0.71912955465587,0.682544378698225
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80173971460341,0.757309261842037,0.695029624753127,0.743458539511171,0.611834319526627
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752807527720642,0.771925963676798,0.747740069218451,0.697354344963792,0.73959739091318,0.645562130177515
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754785954785955,0.752689316027141,0.793261212008895,0.742232295056563,0.670774358130349,0.737985455090718,0.710059171597633
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734405711741944,0.750962000962001,0.743740690829137,0.783091641957005,0.737634950152384,0.695708525345622,0.738678962363173,0.642011834319527
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765873652191237,0.734695065575455,0.737866762866763,0.739532354540511,0.7818407153447,0.751078309830053,0.708772218564845,0.743627230469336,0.749704142011834
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750836483931947,0.753929843486543,0.735023798924768,0.749338624338624,0.733964583776627,0.781076260192735,0.735174854073041,0.703094140882159,0.736954565901934,0.693491124260355
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686734545605513,0.738761814744802,0.747656671380049,0.733779063794816,0.74486531986532,0.732900678535121,0.773674944403262,0.736440415310708,0.695729098090849,0.724452691557955,0.675443786982248
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767714972693552,0.673784095155063,0.746748582230624,0.761335199249746,0.74583604424203,0.766281866281866,0.752736600704542,0.789172535211268,0.749812748592386,0.701633475971034,0.724265257159994,0.681952662721893
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715186202980018,0.759617709725841,0.684124216382281,0.752117202268431,0.759413402527734,0.742262781221107,0.757082732082732,0.736411565832092,0.762219699777613,0.731642905108735,0.694474160631995,0.709101814364972,0.667751479289941
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71599353517692,0.706166018557733,0.779797562722706,0.681609893303442,0.745931001890359,0.766578230003353,0.728868609389446,0.748941798941799,0.746223136392652,0.766308376575241,0.740359780980423,0.70072827518104,0.72156620182936,0.697337278106509
