"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821297735346359
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779172320217096,0.841085701598579
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751071182562199,0.791508699816426,0.828356275902901
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769912064486044,0.732110959335925,0.798203168648735,0.796634473060983
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793694284067927,0.765900839384451,0.751975996170595,0.789927368505068,0.813980165778567
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805430315604676,0.794852384557154,0.764926553860502,0.740353519433061,0.785901708037353,0.823147942569568
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725691633399403,0.801890901594648,0.793084162834578,0.76746385983612,0.719414381282617,0.801226155319658,0.829392391947898
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782130318425111,0.711570494030504,0.801501881924218,0.784971810139311,0.758824362134435,0.740785494962231,0.803785218293559,0.821251480165779
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796066849945736,0.771093622425837,0.703632878292994,0.805443615422469,0.788529720813043,0.759284857770968,0.729770118968396,0.796542022507782,0.841779529307282
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.799768687283766,0.790035999011669,0.772267077927969,0.708080920875092,0.800604144223224,0.784852045600913,0.758839351142495,0.7375048159434,0.812654641232341,0.81259251036116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737702667538157,0.804410406642011,0.793697279900917,0.774568856028304,0.709090570708058,0.78848801021426,0.784424960737569,0.75496968889481,0.728024704330263,0.817957338973581,0.852196195973949
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749524994647827,0.704989007341416,0.791616405307599,0.78067383206508,0.757920484441622,0.699426779449671,0.785879583449707,0.774266442202312,0.740925821064553,0.709759144454952,0.810025740282544,0.811149348727057
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757490191254705,0.744369878943578,0.712323251777983,0.798320497355479,0.783086407010893,0.756976549033838,0.694797279063492,0.772255582598518,0.767708768797948,0.731501898607688,0.714359100089898,0.799699696703647,0.795570603907638
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771745039734129,0.744506831300434,0.742278882271657,0.712250513776168,0.785002894170566,0.77470201513147,0.754207112401343,0.689897918353294,0.769731942172392,0.761430169365135,0.731241256411965,0.690647146042754,0.78989244951712,0.681079780935465
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698496545475856,0.764748429308234,0.738451547782925,0.736063671396041,0.701924790955081,0.767223628803846,0.770637270080161,0.746214052435816,0.697360952141667,0.771936386971498,0.757696001446213,0.719782992472187,0.725140975797695,0.780035318062096,0.814294701006513
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750235038243151,0.687732637887941,0.768104911336873,0.736632249381809,0.729356121426208,0.707109678661949,0.777170959318125,0.769192696360378,0.747818425111131,0.68280245293729,0.765931519238186,0.750636672805541,0.732317134101659,0.710226145027028,0.79349409370261,0.849143354055654
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724135906794866,0.729755523066927,0.689348629752941,0.750740238231433,0.732818189547106,0.727353313968198,0.686232847662037,0.771676453823619,0.760246895046148,0.723518325319786,0.689790904776528,0.758094601603958,0.748567909882834,0.717383918459796,0.706939628501045,0.801281028015005,0.836191903493191
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725461097217576,0.711353339677039,0.720106612603889,0.691292492547668,0.728991652917697,0.722829458976924,0.715208746910337,0.694208415889258,0.754505847991976,0.74158550468988,0.721857706613445,0.684626336506518,0.743506363962814,0.741528918616607,0.709270701485577,0.678586856268899,0.775116729188283,0.7606664446418
NA,NA,NA,NA,NA,NA,NA,NA,0.743618955381113,0.715990927610259,0.691179408520449,0.706631396331545,0.684859015500217,0.740766128841636,0.716874569256344,0.715449898795275,0.668719380886912,0.727764595677744,0.752165883195561,0.710577429012066,0.66211626327201,0.761070435835029,0.741378648016541,0.693080074611951,0.678189905782635,0.718587876127385,0.638682282415631
NA,NA,NA,NA,NA,NA,NA,0.707591435332399,0.751903014238624,0.738270582342645,0.696814418201701,0.715752233858672,0.688453320366328,0.735688070936805,0.729373596974077,0.728980861115977,0.708677131377125,0.768996584436874,0.744281521028615,0.731258504944208,0.661236890836846,0.776036055806035,0.774415582948241,0.750430517620412,0.708644180589121,0.780214901428685,0.798826968620486
NA,NA,NA,NA,NA,NA,0.718698643615935,0.686917762362482,0.737184388486764,0.71782186541501,0.697046862942817,0.702984255755584,0.665519382398875,0.717544158224248,0.721489066120621,0.711057771841731,0.668805437114412,0.768115077524004,0.730803785056813,0.69179442982854,0.630984617961531,0.754044807086143,0.724952828589829,0.684935214176271,0.666760066781082,0.776693072072791,0.828643058022498
NA,NA,NA,NA,NA,0.72507927704161,0.716298144579476,0.697068702119362,0.73204964828219,0.704980522503102,0.699493450360502,0.722203642123949,0.67384009718918,0.745042097848542,0.719151066435369,0.723814189583698,0.681474143177073,0.734368165007489,0.735824411771145,0.721903293114397,0.671677693717838,0.77283744962694,0.74669348187149,0.718698787555792,0.68661342860145,0.785487668608828,0.797753848431024
NA,NA,NA,NA,0.657778250635731,0.737939640932274,0.722497113088939,0.682201157032417,0.746488768817752,0.684880913822917,0.667695388504637,0.699561403508772,0.68381560982409,0.731913210514456,0.725642746412505,0.708438248087815,0.651449740089703,0.700708519466059,0.727190200512306,0.703650322053887,0.659645645477978,0.736961191131681,0.730332064130521,0.691518719605623,0.678312493432804,0.71815388299146,0.761721062759029
NA,NA,NA,0.704556319504707,0.641922404009835,0.712224941823312,0.682647715163059,0.651886712018014,0.734767390491725,0.631347442793149,0.580362916779102,0.650084459818149,0.638324310283109,0.646716872073912,0.670800147606015,0.644185411436134,0.558615560195307,0.600679577760398,0.586961774116367,0.5872341921437,0.588449047579167,0.569366862173988,0.554704147694533,0.533200652854573,0.544435104433003,0.585117527336579,0.590391873889876
NA,NA,0.656541552447225,0.681987117376438,0.614087489229347,0.676561727576353,0.654355986766622,0.642953186172079,0.697831923063853,0.620294560636873,0.656003560049803,0.671583491529599,0.638627234511662,0.678037734421905,0.644364471087491,0.65789396858761,0.604162867557417,0.696211508636117,0.685986813915448,0.644629638029575,0.644007704977527,0.665768928965673,0.671623713378603,0.633635334088335,0.593884627508669,0.626725995689999,0.603593102427472
