"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768880800727935
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804506877377817,0.710873521383075
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863571604028494,0.80889669300556,0.765923566878981
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845063929186132,0.863055760255465,0.805768949370793,0.738853503184713
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72604597107438,0.821182689943447,0.864234831736674,0.820163886450102,0.795268425841674
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868172839506173,0.728370351239669,0.827114580772068,0.854532056005895,0.815572870939421,0.775932666060055
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835545564832655,0.836469135802469,0.705965909090909,0.812208015736415,0.859616801768607,0.826474246414984,0.772065514103731
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830522486772487,0.817919075144509,0.845679012345679,0.682399276859504,0.825547086304401,0.846352247605011,0.816414252268071,0.747497725204732
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850737903979077,0.840939153439153,0.827570827089132,0.822123456790123,0.63255423553719,0.815035652815343,0.849177106362073,0.836278167983611,0.775705186533212
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843276960016703,0.840058534155302,0.833002645502645,0.832405623349747,0.823827160493827,0.647017045454545,0.799913941480207,0.840186686317858,0.829364208369915,0.75796178343949
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792700729927007,0.835760517799353,0.858583971604708,0.837169312169312,0.840201955327196,0.843037037037037,0.676782024793388,0.811408900909761,0.843355440923606,0.807854111793971,0.737488626023658
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86832148589773,0.777335766423358,0.833202839544838,0.864281711189987,0.824437830687831,0.825715407121958,0.841037037037037,0.684207128099174,0.808857880501598,0.836330140014738,0.80770778460638,0.748180163785259
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853054783550803,0.879227814721394,0.764525547445255,0.840614886731392,0.856497913942338,0.833730158730159,0.823271248126739,0.827061728395062,0.666580578512397,0.799483648881239,0.8436747727831,0.797007609013755,0.712238398544131
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855337345581248,0.840053700127184,0.883785255675304,0.768284671532847,0.842833281135818,0.845600597795629,0.853571428571429,0.821255262970099,0.818345679012346,0.671745867768595,0.791246619129579,0.839523458609678,0.81729221539362,0.739308462238399
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803213808888041,0.854988913525499,0.83854632813604,0.877479362531529,0.773576642335766,0.823650694226955,0.858085808580858,0.832242063492064,0.836615999429102,0.836395061728395,0.6484375,0.788634128350135,0.84460820437239,0.811731782265145,0.720200181983621
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787347206361291,0.802689300019073,0.851504592968008,0.836615007772387,0.880087709241,0.742627737226277,0.835760517799353,0.825144778628806,0.817890211640212,0.83231642046671,0.838296296296296,0.631973140495868,0.805907302680108,0.835273888479489,0.788575504828797,0.718152866242038
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82344069128044,0.778243031764159,0.793963379744421,0.860796114454651,0.828983937067219,0.862115913781243,0.762299270072993,0.831506420294394,0.842362538140606,0.820006613756614,0.829354884749875,0.832444444444444,0.691115702479339,0.798991885910991,0.839572586588062,0.773339186420837,0.732484076433121
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815392743923917,0.802388059701493,0.781288330584105,0.795107762731261,0.848051948051948,0.825427481275613,0.870213253840862,0.741131386861314,0.821301806034033,0.811320754716981,0.823875661375661,0.821094697780632,0.833703703703704,0.658316115702479,0.780919596754364,0.818324735937116,0.810469710272169,0.682438580527753
