"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707988165680473
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737760533813165,0.701775147928994
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685669025674786,0.737460638776428,0.697337278106509
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784195981197376,0.709780283080974,0.749775078722447,0.690236686390533
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796214788732394,0.779940854382974,0.68435236998025,0.716636677162993,0.671301775147929
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771331300092205,0.795311341734618,0.765606436282866,0.691779131007242,0.714424951267057,0.63905325443787
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785425685425685,0.775043147268128,0.786821256486286,0.772011725812284,0.692458031599737,0.720572799520168,0.697337278106509
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745390884498168,0.777284752284752,0.764049459772561,0.80399833209785,0.768098817087659,0.693671823568137,0.710488828909882,0.705029585798817
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755883224731167,0.747984796082594,0.778078403078403,0.758517152516727,0.791743884358784,0.764373159770649,0.700419684002633,0.712363172889489,0.685798816568047
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773388468809074,0.756874492825454,0.732628497072219,0.780928330928331,0.758588079532827,0.783045311341735,0.764295676429568,0.688487491770902,0.714012595591543,0.678402366863905
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703621247976087,0.74679584120983,0.736502475740657,0.73628565558333,0.779509379509379,0.748811972480318,0.776860174203113,0.755804793636035,0.673222514812377,0.707002549107812,0.671005917159763
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753686484562846,0.700829285506705,0.755647448015123,0.749959911952069,0.730890661918296,0.791257816257816,0.763765751708159,0.791720719051149,0.759265716204349,0.684146642527979,0.716036887089519,0.71094674556213
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735271965117622,0.756857408784601,0.699277618632457,0.757348771266541,0.747695544638649,0.724363935212136,0.772510822510822,0.752665673688441,0.780392883617494,0.756553799266491,0.684825543120474,0.720291647923227,0.681656804733728
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.737938848755349,0.730196983405844,0.759132946130788,0.700857827873957,0.756129489603025,0.742187689810833,0.711286511659761,0.764766714766715,0.758907251105279,0.77373285767235,0.759588563458856,0.681533903884134,0.713300344879292,0.740828402366864
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767178461003521,0.732957944140248,0.727730479728949,0.756274551850314,0.685841947938722,0.742755198487713,0.743290718523594,0.723530116768825,0.760822510822511,0.753906896470199,0.775701908821349,0.756101813110181,0.667565009874918,0.701529464687359,0.699408284023669
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76382977754226,0.753820560632971,0.74311818432798,0.724845272013245,0.745305207159445,0.694817225059161,0.738695652173913,0.73875955431809,0.722870937917337,0.758633958633959,0.75895453578268,0.767455059303188,0.745544707887804,0.671185813034891,0.717630079472185,0.661834319526627
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736718559275882,0.749314072186785,0.754596092682046,0.721354046841209,0.725695914988642,0.753777734180738,0.699176422966746,0.746209829867675,0.735807616243191,0.704782042940794,0.753799903799904,0.743988935385488,0.762856745737583,0.727110129655457,0.681040157998683,0.704303493777178,0.688461538461538
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753175757243196,0.721930104598975,0.75423969438063,0.743718190402493,0.726677172962775,0.723465233126709,0.750550919568024,0.68638684767717,0.719068998109641,0.733521382721808,0.698614868335445,0.758249158249158,0.73609239425964,0.754806801334322,0.723126194534842,0.672111586570112,0.664867296446244,0.67189349112426
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.792943379089336,0.761034556079895,0.726481662316201,0.740828609908639,0.741493862217783,0.726194036718355,0.723247458899626,0.743777916679974,0.689300763897538,0.727958412098299,0.731689480410307,0.703843783172962,0.758309283309283,0.74745253800506,0.725027798369162,0.739191073919107,0.661269749835418,0.698249362723047,0.658284023668639
"21",NA,NA,NA,NA,NA,NA,NA,0.716559822436048,0.782052765067777,0.743629623024583,0.723723498150269,0.720736656862998,0.721585698848122,0.716652095891041,0.73275853771224,0.747998211507489,0.704376323327936,0.716266540642722,0.729473704670136,0.705966852720611,0.753234728234728,0.740395299903066,0.748436341734618,0.723197220930833,0.681287030941409,0.71159469185785,0.602958579881657
"22",NA,NA,NA,NA,NA,NA,0.711972739115892,0.699433332920009,0.766078864839854,0.749550729806848,0.702167564928358,0.710732056173958,0.714941690216706,0.710342566603782,0.715563999152967,0.729987818176011,0.698652281313572,0.698015122873346,0.71210464681215,0.695947334177995,0.750468975468976,0.727746648698489,0.744903632320237,0.699978046386693,0.67955892034233,0.733337082021293,0.627218934911243
"23",NA,NA,NA,NA,NA,0.703718316857003,0.687055481224583,0.664107778342654,0.726179459496513,0.713741151777875,0.695451728606036,0.67379292647856,0.701394594115501,0.677273616159757,0.684199697763062,0.713091810803042,0.677590609042222,0.676153119092628,0.709237743990437,0.686715405951443,0.729136604136604,0.740797219660969,0.722421701260193,0.709637636241541,0.61327353522054,0.723984105563053,0.553254437869823
"24",NA,NA,NA,NA,0.75672637476043,0.664942314577351,0.68516737672306,0.679576425657495,0.732093894058575,0.739948008121159,0.657966517060713,0.682763510917906,0.677676949142142,0.669074679059495,0.646518740615254,0.684735992043033,0.632509237347947,0.651677693761815,0.680520124200061,0.643522925726809,0.688179413179413,0.68528500839303,0.723278817642698,0.69561960845085,0.620988314680711,0.699936272304693,0.668343195266272
"25",NA,NA,NA,0.746392773892774,0.705389392599145,0.650945349242186,0.663009656180131,0.667893412030206,0.729403372577245,0.704673438871817,0.634138326040826,0.654354635687682,0.667895018527546,0.629647310541573,0.64048242405575,0.65806486935336,0.620233424668909,0.587788279773157,0.656248633362002,0.626380851282403,0.696993746993747,0.657729862638012,0.699406968124537,0.694780205589132,0.640450131665569,0.703160143949618,0.635502958579882
