"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834911616161616
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839458923751687,0.829403409090909
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813584261151686,0.834024665027954,0.822032828282828
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85136335292228,0.815410121914617,0.841766375072296,0.816114267676768
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781512971441029,0.856765610195251,0.8156559520917,0.840233094756121,0.812863005050505
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822483577165575,0.788260300850229,0.855189811228057,0.813977303585976,0.836717695681511,0.823106060606061
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822956458822592,0.822713931782816,0.795039423007049,0.858533069507919,0.81078508439693,0.827522532292269,0.828393308080808
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81598678306274,0.825246647494895,0.823297872683164,0.797101409781266,0.85559472745089,0.810210527820258,0.841776918257181,0.825883838383838
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847591913622126,0.817337031900139,0.821573761243999,0.819178068951742,0.794652459850302,0.852327053532624,0.809382994840425,0.841769387410835,0.823169191919192
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86075325406944,0.845758693361433,0.808918713116314,0.825853685456229,0.825462078475213,0.790757394084732,0.848313658903973,0.806316549230351,0.835417871602082,0.814867424242424
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827975856260528,0.855331040412726,0.847730848622198,0.808238829512387,0.822140943177568,0.819132964551163,0.785699622120485,0.85093549144682,0.804598596481198,0.826010338345865,0.814141414141414
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82661393416427,0.819952897872606,0.854795490260029,0.839299118033402,0.810331511245275,0.824536903615862,0.823461376135262,0.791070779739845,0.850868680270052,0.807123358154559,0.830458056198188,0.798768939393939
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849482831198509,0.824870565675935,0.82322353234762,0.85454346665876,0.845074844464974,0.816254657202687,0.821190530207803,0.818747966274795,0.78142122665504,0.842772380394496,0.802621235725413,0.827022484094852,0.812058080808081
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836096883644537,0.847173612363943,0.82725790987536,0.825233950963878,0.849538203812969,0.845186714205292,0.811884365396644,0.823669268549915,0.818309003804878,0.788656347649153,0.845672930270727,0.806328697814684,0.833643604202815,0.823153409090909
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833412360798764,0.833887123962656,0.840949545973901,0.821623521891978,0.823749142179799,0.859921205562309,0.844129364724223,0.812365722988224,0.823661603929191,0.823199609524761,0.789557444953128,0.849442700305307,0.803778209727443,0.830668919895894,0.796796085858586
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841582343040034,0.836308152924919,0.834195085580913,0.836496482049432,0.827401725790988,0.824296587435274,0.851443205740208,0.842305166216782,0.810621141660548,0.825744847841949,0.825525707897458,0.776940265969043,0.850187071294949,0.803917561135964,0.825242192018508,0.793939393939394
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78445557919784,0.838498360360917,0.825747825615737,0.830688645401107,0.839034217331168,0.825664749121125,0.818887641150415,0.853876345361283,0.842673253749441,0.812705664790188,0.822386211040733,0.815528639683496,0.777152823195989,0.843999276549682,0.797112924664485,0.81894791064199,0.802872474747475
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812499172130605,0.78399913057405,0.824009261783062,0.83557319749641,0.835170297372061,0.838210355403211,0.826511665068712,0.816284546758999,0.845352017671302,0.838862465176032,0.816188028609502,0.81668526614629,0.822581034888254,0.770849683889252,0.840903017165748,0.795888061514714,0.797932330827068,0.803835227272727
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838228685812329,0.811362231494359,0.784437275493628,0.829093969443984,0.838764778136036,0.845565352697095,0.835254675566781,0.818181527644615,0.815097635535592,0.851246775580396,0.843889386087735,0.816241059530608,0.817341357680257,0.821206961542055,0.775490516677567,0.842432925627688,0.798576471765261,0.803473527568922,0.804198232323232
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.809353811955274,0.830092860707337,0.803526723624081,0.771878646441074,0.823660820915444,0.842061352408306,0.835918590076072,0.839145468759396,0.814731543624161,0.812547570029322,0.839533237465532,0.837151940759559,0.811083462511218,0.817329094287098,0.813243618532754,0.76816910108277,0.835458918549752,0.79580802378264,0.805771941873916,0.815924873737374
"22",NA,NA,NA,NA,NA,NA,NA,0.802027881859815,0.803529057285978,0.816178573230837,0.807320573106387,0.76911821904958,0.81647212051558,0.834304242194344,0.828308696403873,0.838099103974983,0.813253435602429,0.8112592800549,0.82857391703976,0.836412156992941,0.811296945962851,0.806374818348489,0.812024994281406,0.776267168083715,0.832993653613067,0.792135578201152,0.792597479275111,0.829513888888889
"23",NA,NA,NA,NA,NA,NA,0.802341247022098,0.801067396655632,0.807458345471442,0.814170048917479,0.799140671567653,0.774659665499805,0.818807938831768,0.833516225467617,0.828511302731674,0.8368242227434,0.813964525407478,0.807519183979038,0.819795712633795,0.830943170171919,0.804753746158658,0.801276312642945,0.802770537805542,0.773517549596686,0.832274927317538,0.791606757471379,0.796546655099287,0.83041351010101
"24",NA,NA,NA,NA,NA,0.795798842976599,0.790924880590534,0.79648980804443,0.792451800501,0.798129489141954,0.793468662383822,0.75888873635802,0.809490658131739,0.830611401631127,0.830007888139696,0.83476156112815,0.795647171620326,0.802532909102252,0.810898908886056,0.835419764135283,0.791493296347665,0.794969862711314,0.793085978652732,0.755799905530121,0.815133473884253,0.789502193891406,0.784506337960285,0.800962752525253
"25",NA,NA,NA,NA,0.799884164077729,0.782558475715701,0.77847402330685,0.79410905776452,0.786233886421127,0.784069818948454,0.780341413338632,0.751042167158579,0.786438063230777,0.809450104316254,0.81685738675657,0.838050995249263,0.801551613934164,0.794349304385801,0.807998784356747,0.819460282633486,0.774437736259552,0.775509390693311,0.7848173755038,0.759377952183708,0.805485670014874,0.768169279803336,0.740065307499518,0.758822601010101
"26",NA,NA,NA,0.747821350762527,0.797424673336988,0.777292292966634,0.777685979509688,0.791528227452597,0.78529345526015,0.778681446842391,0.779068702121553,0.761480998467065,0.786259627786473,0.808042286467788,0.817051888831259,0.831418004690601,0.791866410993928,0.786477634287853,0.802893453316334,0.80902391847222,0.7676592967284,0.777088302562436,0.775474321098228,0.745736138362038,0.802290881016718,0.76825574913888,0.756444898303451,0.783222853535353
"27",NA,NA,0.785237449724653,0.720284052542394,0.794361731694688,0.773185730044715,0.785443780732535,0.788347157044636,0.789369938024549,0.788891078307216,0.772043402432832,0.75271009220491,0.788946696977275,0.808788531534217,0.824183631569848,0.825843406097781,0.790332374560562,0.78776904360846,0.81306149375871,0.810781356005601,0.787356884501373,0.778316174802406,0.765698747708535,0.7422580117724,0.794469249312317,0.770789800906141,0.767242625795257,0.743244949494949
"28",NA,0.810835591247476,0.774194836029321,0.720564346596338,0.796255368238304,0.767496750959274,0.75955217049442,0.779218252957749,0.79246525170273,0.759190150180747,0.76945879418063,0.734774750040039,0.776761804136892,0.800823691982551,0.809171853388658,0.82467376270371,0.769292106104187,0.775605153159898,0.803573546416817,0.816441603995554,0.785855701503902,0.734019265790652,0.743553292460155,0.73561423588402,0.78439020966562,0.766388440264696,0.767018206574128,0.796732954545455
