"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.810054595086442
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81712759730758,0.79845313921747
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878850405305822,0.825870646766169,0.795723384895359
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829327514138185,0.873004175878163,0.80805531167691,0.808007279344859
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765237603305785,0.829235308581264,0.875190370916237,0.823035557506585,0.786624203821656
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.832864197530864,0.750968491735537,0.822319891812147,0.884844018668632,0.81233538191396,0.803230209281165
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85165560550917,0.832740740740741,0.729984504132231,0.829296778952545,0.874355195283714,0.837430494585894,0.807779799818016
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843617724867725,0.855580532362806,0.842148148148148,0.71119576446281,0.824409884435702,0.86804225006141,0.827955809189347,0.768880800727935
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85347780061025,0.836607142857143,0.843734389495469,0.834148148148148,0.704222623966942,0.81134743053848,0.861311717022844,0.823840357038338,0.78343949044586
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841110763127675,0.848029142536895,0.82853835978836,0.855883822165132,0.829111111111111,0.702995867768595,0.820199164002951,0.8701793171211,0.817968978636231,0.761373976342129
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771350364963504,0.831062741413509,0.846565788654337,0.822585978835979,0.848497823449654,0.850123456790123,0.723463326446281,0.821705188099336,0.870744288872513,0.803720368744513,0.761146496815287
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888084728273332,0.783613138686131,0.838005010961478,0.851454013325861,0.830224867724868,0.849942910154856,0.839185185185185,0.722365702479339,0.826930169658225,0.869393269466961,0.801305970149254,0.767970882620564
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847873192331245,0.879457119926622,0.765474452554745,0.837613529595991,0.840899184258048,0.828339947089947,0.846999215014629,0.843654320987654,0.716361053719008,0.800651585935579,0.855293539670843,0.792782411472052,0.747725204731574
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865642487593707,0.842032125865561,0.882466750745242,0.776824817518248,0.833646518425723,0.840401021234199,0.823544973544974,0.844216085063869,0.81679012345679,0.699380165289256,0.801819522989919,0.844853844264309,0.824187884108867,0.769108280254777
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790339500286096,0.875810368493295,0.842809364548495,0.875988878697546,0.761788321167883,0.825869088631381,0.827822404881998,0.829001322751323,0.839006636694498,0.834962962962963,0.722688533057851,0.808028030489304,0.846696143453697,0.800537752414399,0.755232029117379
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805661295097915,0.804882700743849,0.86527293844367,0.839064487257996,0.875902889245586,0.751350364963504,0.824250965654035,0.832835170309484,0.808994708994709,0.847159780204096,0.833407407407407,0.692342458677686,0.78242562085075,0.861581920903955,0.806902985074627,0.765696087352138
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83451688923802,0.796768599585501,0.800638947167652,0.859919755041706,0.838852513071741,0.873323205686769,0.750620437956204,0.82709573024324,0.82897440687465,0.82635582010582,0.848444301719832,0.827728395061728,0.686014979338843,0.803141135972461,0.853426676492262,0.800885279484928,0.746587807097361
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800264177527298,0.821948153967007,0.798238379224295,0.80807743658211,0.851800232288037,0.83564934759056,0.875659252465031,0.765620437956204,0.834429481156697,0.825238184195778,0.815376984126984,0.832958681224577,0.808172839506173,0.673618285123967,0.789310302434227,0.852886268730042,0.812920690664325,0.744085532302093
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806676396520147,0.818122578372666,0.816512175962294,0.797688533604027,0.796395193591455,0.847988596769085,0.824579584530595,0.86624340747535,0.760948905109489,0.817360893621464,0.821968989351765,0.814417989417989,0.836437593663027,0.809234567901235,0.684142561983471,0.779597983771822,0.843601080815524,0.806646912496342,0.729071883530482
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764831002331002,0.79635989010989,0.81442409299049,0.809646504320503,0.788531489235715,0.801831012778943,0.845771301868863,0.818361675067125,0.858719330428801,0.743430656934307,0.817439189894561,0.825798617597609,0.818320105820106,0.827802754585028,0.795703703703704,0.677815082644628,0.777415785591345,0.855760255465488,0.794702955809189,0.691310282074613
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845185033386273,0.758275058275058,0.785013163919414,0.809052483268757,0.816260801256874,0.799200609059764,0.795775319473584,0.840323091542604,0.815982853643601,0.855824352212795,0.740802919708029,0.832263284267669,0.819135687153621,0.801884920634921,0.816884321701277,0.796074074074074,0.667419938016529,0.783224735677403,0.847236551215917,0.789453467954346,0.732029117379436
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811627435064935,0.836817118363304,0.752957459207459,0.790250114468865,0.805811905600564,0.814736842105263,0.791819989003088,0.787240129696739,0.851325097666561,0.813933769843139,0.851768516395322,0.741131386861314,0.81266311723562,0.819229092720593,0.81359126984127,0.828498537072718,0.791530864197531,0.676394628099174,0.78417752643226,0.841513141734218,0.775259730757975,0.709053685168335
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734743793567323,0.803713474025974,0.828295506941954,0.747712703962704,0.786787431318681,0.80901725959845,0.813684210526316,0.783857801463435,0.771934007247759,0.852739942983845,0.802652032596919,0.851438890162807,0.728905109489051,0.802771688067648,0.813842705025219,0.81087962962963,0.817597944765575,0.802617283950617,0.679816632231405,0.785622080157364,0.839769098501597,0.772497805092186,0.700409463148317
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756995522865366,0.717530879295585,0.79705762987013,0.831728059839131,0.753598484848485,0.800952953296703,0.803451919690032,0.810966221523959,0.788267140379816,0.764066374213237,0.835751240629289,0.799849262800886,0.840618550791103,0.747846715328467,0.796194801127466,0.820163148390311,0.796263227513228,0.822646827945479,0.812320987654321,0.672197830578512,0.790386033931645,0.83927781871776,0.770485806262804,0.708371246587807
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825598684002404,0.749773478307217,0.694050385226856,0.799310064935065,0.835280154379493,0.745833333333333,0.788833562271062,0.807731595632265,0.819057344854674,0.790498244723597,0.76764257104711,0.841590117199873,0.813674690282161,0.849661774822288,0.765656934306569,0.823937780561645,0.814122921726135,0.810350529100529,0.827820595161636,0.791308641975309,0.690599173553719,0.793152200639292,0.840800786047654,0.78407594381036,0.697452229299363
