"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795344065656566
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829715514748409,0.794902146464647
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794451670073034,0.780917136591479,0.8359375
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82165127535113,0.772091128674947,0.792415232793522,0.807149621212121
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735076484267132,0.822682461998613,0.764693355438993,0.766302776171197,0.831960227272727
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787327113221711,0.741709359784899,0.798271412644724,0.76015478725685,0.755928282244072,0.83292297979798
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781207269739464,0.745639370986916,0.72083878351864,0.813384910661984,0.772793602698415,0.774555077597841,0.812657828282828
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815615566614995,0.780477597846548,0.756834122123386,0.735000181672844,0.809161634457831,0.770265982534623,0.794100636205899,0.773263888888889
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.810243659511815,0.783862282777189,0.792517184079663,0.787899778021914,0.747287624445898,0.828924920433962,0.778829305243901,0.76276026604974,0.798958333333333
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819990289678892,0.815176754189702,0.79390416360719,0.718084519305647,0.771664610120783,0.759541457742897,0.809483542854983,0.794980490802807,0.819476576055523,0.719049873737374
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783848025453865,0.810368918077505,0.791842891580178,0.746026760218651,0.748304585895872,0.774099442316304,0.762226582370467,0.797707229374242,0.76775194020038,0.761635157605552,0.783254419191919
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765139022051774,0.776670409882089,0.785598333679248,0.804843238015503,0.781753283837807,0.735199617382133,0.728837981771379,0.723497565583897,0.77903654233939,0.74788471708091,0.739956863312127,0.70602904040404
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813037464670155,0.797515180568872,0.766088027949342,0.798688736027515,0.780897700535531,0.764924804873406,0.785887287153483,0.776309557944657,0.746700821161253,0.812680356434254,0.758326782626095,0.74321771978022,0.752462121212121
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823875669951591,0.808963256960731,0.791799296899968,0.807711023769418,0.790766670619978,0.788239603331553,0.797458595088521,0.744138098070355,0.711406741819189,0.71806554756195,0.810893326170815,0.766310546400446,0.788942006458454,0.800662878787879
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812694746254098,0.823689272130014,0.822406639004149,0.798131991051454,0.800424231081165,0.826079624633083,0.813195577175686,0.808543417366947,0.811901009890427,0.798705503703393,0.755729961485357,0.83423877099828,0.752529049409007,0.789975238577212,0.816666666666667
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801728716304504,0.783384588289484,0.819091459197787,0.804044139755848,0.800567273889422,0.803654314055774,0.829771029145788,0.759886037212928,0.769670392428816,0.794991323649341,0.780570312927888,0.732173352227309,0.784245114685772,0.735456715308646,0.764914088104878,0.755823863636364
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78962294369323,0.818139157166501,0.801340757399229,0.798368883990318,0.805126586084551,0.808817513582614,0.800361844157465,0.823377783378302,0.790661041904239,0.779933915313698,0.803712129109003,0.795805129659043,0.779025870212921,0.813181102829824,0.761376077293581,0.770536617987276,0.750489267676768
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774400070644855,0.760197451209188,0.789775649041366,0.768390820169616,0.794495051002766,0.77919898971676,0.802320230105465,0.790408010481003,0.821411628665461,0.770102270594858,0.783459791683664,0.77790381820746,0.773413211078929,0.70274507666594,0.827924102503192,0.775965097831835,0.72016128060536,0.77477904040404
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82659486442561,0.76899960262269,0.756036790445466,0.803562948371741,0.81052600680991,0.833797977178423,0.823810812436106,0.807209971236817,0.806081165387735,0.836256930649035,0.822455504712964,0.801888716651709,0.756908889120531,0.769325624776492,0.755411125644939,0.812496119552864,0.779039404290594,0.783693006554849,0.796212121212121
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.783386459174834,0.800287801709188,0.766966355387774,0.75730889788821,0.794727583871684,0.805557437161875,0.813124027489627,0.818206145889711,0.812511984659636,0.791468588183917,0.819779034601358,0.793636416126564,0.785035761877567,0.780830170399848,0.774658414709189,0.734028231959887,0.802343520125686,0.750568124973202,0.772728094274147,0.781013257575758
"22",NA,NA,NA,NA,NA,NA,NA,0.768143621084798,0.78825271964083,0.775099344856616,0.759764443561384,0.743177294254925,0.791070359765196,0.783596833482357,0.815720089903181,0.807610199049853,0.800709491850431,0.80017312371327,0.839586977792273,0.814743710033633,0.806004731989883,0.79046766449809,0.784251959625118,0.763045926894848,0.829207012069203,0.771504423513942,0.746097515423173,0.777919823232323
"23",NA,NA,NA,NA,NA,NA,0.778395394960745,0.794956366384938,0.805181633498565,0.838626786144827,0.790706890081021,0.774514379847622,0.805052954581857,0.806590439031439,0.805570863589212,0.799395634133141,0.814956855225312,0.802224093829933,0.830145358318261,0.807257459185588,0.815279704114656,0.802145480633036,0.801862811743897,0.75439194099266,0.829030198651899,0.782025812168594,0.777960526315789,0.833901515151515
"24",NA,NA,NA,NA,NA,0.779996084309449,0.774230439731959,0.785461659411239,0.785233501332438,0.75693491580218,0.768766695366139,0.74002676916741,0.804974274385943,0.809819275476197,0.81111957555325,0.821041553911841,0.791732182806008,0.802107118347994,0.794098570877932,0.824922052051908,0.786541024176661,0.755707076591022,0.755116127722775,0.76353826030085,0.79687040251372,0.767355324653051,0.787703935319067,0.784974747474747
"25",NA,NA,NA,NA,0.761143853557505,0.733639009821506,0.761220382345002,0.752641460624654,0.741134312939518,0.754406137633778,0.722822703490297,0.714326080490539,0.738776832054312,0.757328103973049,0.757156055497925,0.783327319742618,0.748574624480665,0.744224530538399,0.767954828475702,0.77675491144247,0.750792744282179,0.766351701852386,0.767890338315222,0.72485284499673,0.786429637707958,0.734807123358155,0.647777797860035,0.726152146464646
"26",NA,NA,NA,0.736888290078865,0.805542706048977,0.745587830763574,0.750553919094953,0.764595737284813,0.765848398038738,0.738580247655253,0.76641996158686,0.740526689088704,0.788931241938792,0.779083236242447,0.788044065525588,0.827076192194359,0.786410993927772,0.778635597978664,0.783437601921309,0.786924231707493,0.726393081504446,0.744262264926082,0.749603725623488,0.746744422643703,0.761838400634909,0.730138493861392,0.719504590803933,0.775820707070707
