"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243221574344023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0535455048409405,0.026665889212828
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0794023853211009,0.0553396957123098,0.0259303206997085
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106415636363636,0.0797229357798165,0.0590925311203319,0.026900583090379
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0777963181148748,0.104657939393939,0.0812464220183486,0.0585625172890733,0.0302644314868805
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0875036656891496,0.0811879234167894,0.106010545454545,0.0821047706422018,0.0604312586445367,0.0309285714285714
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0768849137931034,0.0858265395894428,0.0788678939617084,0.10672703030303,0.0821484403669725,0.0623806362378976,0.0307271137026239
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0907171974522293,0.076798275862069,0.088083724340176,0.0783385861561119,0.109082545454545,0.081405504587156,0.0636818810511757,0.0334959183673469
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102358345978756,0.0922568037058483,0.0800987068965517,0.0875038123167155,0.082698969072165,0.106656848484848,0.0795671559633028,0.0645182572614108,0.0332116618075802
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0966418357487923,0.106084294385432,0.0933953676896352,0.0823382183908046,0.0891593841642229,0.0826746686303387,0.108406909090909,0.07982,0.0716183955739972,0.0404355685131195
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122426022913257,0.100768695652174,0.111155842185129,0.0943910828025478,0.0817625,0.089858211143695,0.0868157584683358,0.109159515151515,0.0836495412844037,0.0748748271092669,0.0433069970845481
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117905483323912,0.122078723404255,0.0956586473429952,0.105709180576631,0.0922235089751013,0.0795682471264368,0.0883793255131965,0.084599852724595,0.106078909090909,0.0825377981651376,0.0729728907330567,0.0408125364431487
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133525733093956,0.119888581119276,0.121324631751227,0.0924183574879227,0.104728603945372,0.0914818181818182,0.0782668103448276,0.0881307917888563,0.0844946980854197,0.106384363636364,0.0809642201834862,0.0667842323651452,0.0373454810495627
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146180476190476,0.137471454219031,0.11751769361221,0.121683551554828,0.095259806763285,0.104602655538695,0.0935200347423277,0.0808331896551724,0.0873888563049853,0.0853550810014728,0.104592727272727,0.0826660550458716,0.0660197786998617,0.0370081632653061
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121779691689008,0.152690857142857,0.142206762417714,0.124127586206897,0.125452209492635,0.105507922705314,0.107923141122914,0.0962806022003474,0.0855492816091954,0.0919422287390029,0.0888456553755523,0.109923878787879,0.0846245871559633,0.0701734439834025,0.0370218658892128
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107770575783235,0.120854021447721,0.142371238095238,0.136016517055655,0.120469361221029,0.122372749590835,0.092591690821256,0.109963505311077,0.0937754487550666,0.0813807471264368,0.0896840175953079,0.0871097201767305,0.106316484848485,0.0850203669724771,0.0677910096818811,0.0366026239067055
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120907115821347,0.115520448772227,0.121892694369973,0.14188019047619,0.13480855774985,0.119514075749011,0.125666284779051,0.0973303381642512,0.116767526555387,0.0963599305153445,0.0861116379310345,0.0967041055718475,0.0903145802650957,0.112721696969697,0.0860908256880734,0.0738746887966805,0.0402032069970845
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139807743362832,0.123164193792581,0.110353852667231,0.122540616621984,0.14697980952381,0.135671394374626,0.123123007348785,0.125324713584288,0.0947748792270531,0.11337875569044,0.0965188766647365,0.0828889367816092,0.0926190615835777,0.0903210603829161,0.108327636363636,0.0854653211009174,0.0733730290456432,0.0407883381924198
NA,NA,NA,NA,NA,NA,NA,NA,0.11461028179741,0.138525,0.119293868281605,0.111161558001693,0.123892895442359,0.14636380952381,0.135068641532017,0.122182419446015,0.126971358428805,0.0949905314009662,0.113678907435508,0.0977189345686161,0.0841344827586207,0.0900139296187683,0.0913432989690722,0.10675903030303,0.0860833027522936,0.0720526970954357,0.0450743440233236
NA,NA,NA,NA,NA,NA,NA,0.133039335664336,0.123438461538462,0.147111135693215,0.122216654049962,0.115907239627434,0.125795844504021,0.149804761904762,0.13780065828845,0.122955172413793,0.122737725040917,0.103234879227053,0.115073292867982,0.0987290098436595,0.0866173850574713,0.0966278592375367,0.0968986745213549,0.11114,0.0885363302752293,0.0720066390041494,0.0481731778425656
NA,NA,NA,NA,NA,NA,0.149602222222222,0.132147668997669,0.122615993907083,0.145655825958702,0.114650870552612,0.117542675698561,0.130258243967828,0.148855047619048,0.139315380011969,0.124813058224986,0.122487397708674,0.0968057004830918,0.111346358118361,0.0962873769542559,0.080671408045977,0.0925180351906158,0.0869172312223859,0.108526303030303,0.0839620183486239,0.062872060857538,0.0446069970845481
NA,NA,NA,NA,NA,0.161085249042146,0.161478318318318,0.135642599067599,0.126945163747144,0.156089528023599,0.116182588947767,0.117494453852667,0.13151072386059,0.15750619047619,0.1431907839617,0.129546071226682,0.128115384615385,0.0934563285024155,0.110339453717754,0.0904993630573248,0.0798656609195402,0.0872016129032258,0.086780265095729,0.109796,0.0796673394495413,0.0557569847856155,0.0257434402332362
