"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014022745490982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208286174430129,0.0152806613226453
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0297665024630542,0.0216413776015857,0.0159925851703407
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0273963947633434,0.0305545298779182,0.0219224975222993,0.0163678857715431
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03045567211515,0.0278341591137966,0.0307370529021204,0.022113478691774,0.0170990981963928
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344940787863959,0.0305009514515736,0.0281889828801611,0.0310124651959734,0.022406739345887,0.0169682364729459
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047929725297253,0.0344670663078052,0.0303492559160771,0.0284128902316213,0.0319693938744913,0.0224273290386521,0.0170466933867735
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059685769395628,0.0487827798277983,0.0343505505260582,0.029823932666504,0.0276978247734139,0.03139974298565,0.0222679881070367,0.0169365230460922
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0563813600782779,0.0593443634804972,0.048309881098811,0.034926327379496,0.0304935838009271,0.0280149043303122,0.0315545084600557,0.0220825817641229,0.0168659318637275
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0397400491400491,0.0564147260273973,0.0599020574367767,0.0485480114801148,0.0348494494739418,0.0305831666260063,0.0279244511581067,0.0318761619190405,0.0227279236868186,0.0182081663326653
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449201453371013,0.0404978705978706,0.0560793542074364,0.0602642520360051,0.048630135301353,0.0348581110839246,0.0310722615272018,0.0288539375629406,0.0329365817091454,0.0231606293359762,0.0195717935871743
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0487159181858604,0.0444903916027453,0.0405758804258804,0.0575078767123288,0.060326532361766,0.04870012300123,0.035384781012968,0.0310469626738229,0.0293306344410876,0.0329868280145641,0.0231771555996036,0.0195663326653307
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0538631646380525,0.0494238328145843,0.044964796124344,0.0407101146601147,0.0569577788649706,0.0611019717102443,0.0482146781467815,0.035501419133839,0.0310391314954867,0.0291852567975831,0.0328629042621546,0.0233087710604559,0.0187799098196393
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060251207115629,0.0542312620115311,0.0491618052467763,0.0449674202664513,0.0404113431613432,0.0568000489236791,0.0607005143591942,0.0482232882328823,0.0353284560802545,0.0304752134666992,0.0286136958710977,0.032552023988006,0.0231488850346878,0.0181209418837675
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0646074105263158,0.0615748411689962,0.0550756566303651,0.048849710982659,0.0454601937828018,0.0394618755118755,0.0559772504892368,0.061539091298757,0.048389995899959,0.0354842916564717,0.0311348377653086,0.0290610674723061,0.0327920111372885,0.0231074331020813,0.0182345691382766
