"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0259544450900639
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0610435207823961,0.0267309122603138
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0793222879684418,0.0624321108394458,0.0284530505520046
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114253751187085,0.080987573964497,0.0614084759576202,0.0286287623474724
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126075241545894,0.114894966761633,0.080129684418146,0.0628951915240424,0.029133294596165
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0920285538461539,0.125424335748792,0.115083238366572,0.0840480276134122,0.064639771801141,0.0301654851830331
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0876928571428571,0.0934252307692308,0.1261288647343,0.114814339981007,0.0845116370808679,0.0638241238793806,0.0312601975595584
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12851752,0.0902077067669173,0.0934601230769231,0.128454891304348,0.116066951566952,0.0843838264299803,0.0646853300733496,0.0304202789076119
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131646932849365,0.13083024,0.0897707706766917,0.0921642461538461,0.127312439613527,0.115633903133903,0.0840228796844182,0.0645057864710677,0.0298298663567693
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0966537545313309,0.13337945553539,0.1299004,0.0903083646616541,0.0949613538461538,0.127670229468599,0.115878869895537,0.0849798816568047,0.0651226568867156,0.0327059848925044
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127457906215921,0.097470378042465,0.131821887477314,0.129966986666667,0.0917987781954887,0.0972258461538461,0.129214553140097,0.117034045584046,0.0880789940828402,0.0657964955175224,0.0346998837884951
