"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0897197559558396
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172543276283619,0.089647646717025
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186600690335306,0.164626487367563,0.0886006972690296
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18599477682811,0.18183708086785,0.168377180114099,0.086171411969785
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20222518115942,0.191056457739791,0.196139644970414,0.175315403422983,0.0913848343986055
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180402092307692,0.202507246376812,0.187849667616334,0.203723865877712,0.169091768541157,0.0946836141778036
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177990037593985,0.178951446153846,0.204556280193237,0.189484377967711,0.198120315581854,0.179586063569682,0.0927596746077862
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17523168,0.180789191729323,0.185557784615385,0.199184722222222,0.18921742640076,0.204439151873767,0.174807090464548,0.0967772225450319
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194595898366606,0.193074586666667,0.189378853383459,0.183333415384615,0.21139347826087,0.206078110161443,0.21408540433925,0.186086389568052,0.0992796629866357
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153631796996375,0.184230961887477,0.18663912,0.183545582706767,0.177567138461538,0.204840338164251,0.191616334283001,0.199076232741617,0.187829176854116,0.100362870424172
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19001973827699,0.154818228896945,0.195799201451906,0.186170133333333,0.182058364661654,0.182839938461538,0.208266968599034,0.194929249762583,0.199816370808679,0.181264058679707,0.101154154561302
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199163983050847,0.201440185387132,0.160959140341792,0.194811361161524,0.18886328,0.189569642857143,0.183340246153846,0.207693719806763,0.20561918328585,0.207806213017751,0.182401792991035,0.105514294015107
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177879504761905,0.197885071707953,0.195362595419847,0.15844997410668,0.185474337568058,0.185422,0.181035526315789,0.173181353846154,0.206304830917874,0.194389601139601,0.193107790927022,0.170986063569682,0.100002847181871
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185322591857001,0.178889904761905,0.195508409387223,0.189878680479826,0.155713153806318,0.189312704174229,0.17908448,0.182127161654135,0.179507507692308,0.208073792270531,0.193737084520418,0.193772189349112,0.1889097799511,0.108881115630447
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211017310981868,0.185454270109235,0.180862171428571,0.199594361147327,0.202731570338059,0.160551372345935,0.194115245009074,0.186904826666667,0.18767969924812,0.189929969230769,0.207852053140097,0.208919373219373,0.200995562130178,0.187039364303178,0.106983556072051
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18591029290429,0.215316524119056,0.178595779543198,0.182488152380952,0.203140873533246,0.205287895310796,0.154187312273433,0.189073103448276,0.18744264,0.193739285714286,0.177309969230769,0.201687983091787,0.196888319088319,0.197244181459566,0.183014262428688,0.0941413131900058
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183719720186542,0.194902413366337,0.224875162504276,0.192348013902681,0.187451619047619,0.196588787483703,0.20416254089422,0.159406369756603,0.197852885662432,0.195424533333333,0.200235620300752,0.183069046153846,0.21229559178744,0.199215527065527,0.197996548323471,0.180786226568867,0.102427425915166
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173215250544662,0.18209053964024,0.195838985148515,0.220808450222374,0.186470804369414,0.187896380952381,0.203137809647979,0.204032388222465,0.162399171413775,0.191721451905626,0.192391173333333,0.188383458646617,0.180372861538462,0.208511714975845,0.204045868945869,0.189703550295858,0.170136756316218,0.111521731551424
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.174794810768631,0.166510177404295,0.180037908061292,0.188888758250825,0.202253404036948,0.172518619662363,0.180233485714286,0.193791134289439,0.18403320610687,0.155672553081305,0.178704246823956,0.179735466666667,0.188846804511278,0.177080861538462,0.201384299516908,0.193550997150997,0.182294181459566,0.169383292583537,0.100441836141778
"21",NA,NA,NA,NA,NA,NA,NA,0.188457804878049,0.173382091299259,0.166055586679116,0.167200099933378,0.187019575082508,0.206852925076976,0.174416484607746,0.177352647619048,0.191471512385919,0.177536368593239,0.14863371310202,0.179375245009074,0.1886992,0.176306672932331,0.162601476923077,0.193127596618357,0.180306932573599,0.180533629191322,0.166155745721271,0.0935843695525857
"22",NA,NA,NA,NA,NA,NA,0.184902195281782,0.187299756097561,0.165895981271947,0.166525178960473,0.169518154563624,0.185478403465347,0.204057714676702,0.18000769612711,0.17804380952381,0.193348109517601,0.170661559432933,0.14751305023304,0.179964283121597,0.177284586666667,0.176227255639098,0.172564246153846,0.196196739130435,0.180943732193732,0.179239053254438,0.163916136919315,0.0944607205113306
"23",NA,NA,NA,NA,NA,0.153168679409209,0.189173492791612,0.184578699186992,0.173426063207179,0.171240896358543,0.177953564290473,0.188280919966997,0.21479767362299,0.179862313803376,0.188456380952381,0.198485886571056,0.195853162486369,0.173063386846194,0.185564500907441,0.21179472,0.186308082706767,0.189037661538462,0.20474806763285,0.195615954415954,0.203866765285996,0.184132599837001,0.0967821615339919
"24",NA,NA,NA,NA,0.203258160343593,0.166240486533449,0.193837745740498,0.188044390243902,0.181767303940694,0.183386181139122,0.190360659560293,0.192403135313531,0.203127813889839,0.187415988083416,0.190136,0.193492438070404,0.197258615049073,0.175390626618332,0.187042504537205,0.19771088,0.192392011278195,0.1867936,0.210995833333333,0.199757312440646,0.202413017751479,0.184623227383863,0.110024520627542
"25",NA,NA,NA,0.208338827549947,0.230723908375089,0.182203040834057,0.201369692005242,0.196272479674797,0.19815181428014,0.204004481792717,0.209732045303131,0.204443873762376,0.225115155661991,0.198009731876862,0.2135584,0.214579595827901,0.221838331515812,0.206158467115484,0.210995680580762,0.19496488,0.216355357142857,0.221046646153846,0.227336775362319,0.221266619183286,0.221175246548323,0.204207334963325,0.142528297501453
"26",NA,NA,0.197931526016616,0.19772110935857,0.210004366499642,0.162844743701129,0.200994659239843,0.184809227642276,0.183051502145923,0.193417896047308,0.203894003997335,0.20428620049505,0.207760383167978,0.184807745779543,0.201469142857143,0.202891688396349,0.210221864776445,0.184451216986018,0.190212558983666,0.18020344,0.18709962406015,0.182855138461538,0.211431400966184,0.189238461538462,0.185313412228797,0.177996658516707,0.115192271934922
"27",NA,0.197250261096606,0.204299038041102,0.195225841219769,0.180674838940587,0.160227671589922,0.20400874836173,0.182984552845528,0.181813499804916,0.183650762527233,0.198960159893404,0.185780342409241,0.175051111871365,0.184501737835154,0.196226133333333,0.189508963494133,0.192710959651036,0.168277938891766,0.176350526315789,0.17058864,0.17659765037594,0.1795176,0.180237016908213,0.169680626780627,0.150060256410256,0.158915892420538,0.116613015688553
