"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109457466589192
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194363814180929,0.162286635676932
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185872287968442,0.183799592502037,0.136651191167926
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161929107312441,0.15845483234714,0.152823145884271,0.10849081929111
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19421443236715,0.187746391263058,0.199345660749507,0.164088019559902,0.0945717606042998
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187976369230769,0.206466606280193,0.220738414055081,0.222167258382643,0.209821841890791,0.118050319581639
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171175469924812,0.181439507692308,0.191329770531401,0.185720227920228,0.211055128205128,0.1820902200489,0.103292794886694
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170545173333333,0.182694266917293,0.181189046153846,0.193692874396135,0.171692260208927,0.176698126232742,0.164371964140179,0.0963911098198722
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210357640653358,0.208418106666667,0.240746616541353,0.218370892307692,0.224604830917874,0.233262725546059,0.258160157790927,0.221075468622657,0.126522951772225
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182465147591921,0.209320653357532,0.207928666666667,0.219048778195489,0.215658769230769,0.218157367149758,0.200460113960114,0.219255128205128,0.211970904645477,0.119567112144102
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183466521264995,0.171590937338167,0.194514627949183,0.190414293333333,0.186487687969925,0.186680184615385,0.202106219806763,0.190070417853751,0.201170315581854,0.177652811735941,0.109032829750145
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200773435462842,0.202065921483097,0.173075453133092,0.207677931034483,0.194790346666667,0.201841447368421,0.201115261538462,0.216592995169082,0.209974738841405,0.221789349112426,0.192160391198044,0.118907786170831
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18711580952381,0.199528617992177,0.193586913849509,0.172295390989125,0.186537386569873,0.190272426666667,0.191030639097744,0.188966646153846,0.215313647342995,0.20462616334283,0.210609763313609,0.184457864710676,0.117333468913422
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194697517378352,0.198745523809524,0.197003813559322,0.211276990185387,0.199314241325738,0.203028638838475,0.194164906666667,0.202521804511278,0.214941784615385,0.2161375,0.206669563152897,0.191098619329389,0.190169437652812,0.135529750145264
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203267738624701,0.185780486593843,0.19048979047619,0.199572750977836,0.193724209378408,0.175638736406007,0.192415607985481,0.189888426666667,0.189235526315789,0.204050030769231,0.210432004830918,0.205122317188984,0.199459566074951,0.194113610431948,0.124779721092388
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212288366336634,0.230754772494013,0.202515839126117,0.210414247619048,0.227769589308996,0.238876063249727,0.191142723977214,0.204145517241379,0.222588293333333,0.226525187969925,0.213590153846154,0.222413526570048,0.217896201329535,0.239743195266272,0.224946862265689,0.106939744334689
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197443371085943,0.207134323432343,0.23219544988026,0.204534409136048,0.1971552,0.220435788787484,0.201134569247546,0.18917229414811,0.208843157894737,0.2180788,0.213446428571429,0.207225784615385,0.225576449275362,0.223971557454891,0.210257790927022,0.203813936430318,0.106237071470076
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211484531590414,0.207178514323784,0.210064975247525,0.242228532329798,0.20969766633565,0.21548659047619,0.226289341590613,0.239746782988004,0.193462817193164,0.208225480943739,0.211730106666667,0.231026409774436,0.222532738461538,0.234656702898551,0.232185612535613,0.228190039447732,0.214338630806846,0.13084729808251
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.178680452594616,0.194633986928105,0.204522118587608,0.193811117986799,0.201314095107766,0.194660824230387,0.202042704761905,0.207203780964798,0.204607142857143,0.172947695494562,0.184625154264973,0.18715864,0.202736936090226,0.191670276923077,0.212888285024155,0.211429012345679,0.203304240631164,0.174737734311328,0.133982800697269
"21",NA,NA,NA,NA,NA,NA,NA,0.185544105691057,0.177782091299259,0.161477435418612,0.173469387075283,0.183635024752475,0.189385665412248,0.16365868917577,0.175871466666667,0.177105182529335,0.162123391494002,0.142338891765924,0.173019745916515,0.17760288,0.179748120300752,0.161274769230769,0.184642391304348,0.172622744539411,0.161725147928994,0.146717359413203,0.0896751888436955
"22",NA,NA,NA,NA,NA,NA,0.197458519003932,0.191653983739837,0.17810714007023,0.180658636788049,0.183115456362425,0.192999443069307,0.205351898734177,0.165243296921549,0.179283161904762,0.188598370273794,0.180928244274809,0.154959140341792,0.190690889292196,0.178294746666667,0.198753665413534,0.175790215384615,0.189001570048309,0.178392355175689,0.188149211045365,0.172167807660962,0.110400813480535
"23",NA,NA,NA,NA,NA,0.170179887054735,0.195536140235911,0.193881422764228,0.186969059695669,0.175506660441955,0.192376582278481,0.198128114686469,0.216588197057817,0.197904816285998,0.199567123809524,0.214347685788787,0.205133424209378,0.185451268772657,0.202120435571688,0.219105386666667,0.193281860902256,0.192727569230769,0.204869685990338,0.198416049382716,0.17764842209073,0.181511246943765,0.120996339337594
"24",NA,NA,NA,NA,0.204338188976378,0.168078496959166,0.183788597640891,0.186920975609756,0.173247210300429,0.171234018051665,0.19095889407062,0.196106291254125,0.210893191926103,0.182411618669315,0.187429142857143,0.194685397653194,0.186716575790622,0.172450595546349,0.189524319419238,0.192847333333333,0.192331484962406,0.182391876923077,0.199864673913043,0.193275973409307,0.19988392504931,0.178088101059495,0.109032190586868
"25",NA,NA,NA,0.222896792849632,0.237453937007874,0.193852519548219,0.221360288335518,0.207212682926829,0.205411353882169,0.2072651416122,0.208675716189207,0.213013902640264,0.232011152925077,0.205967924528302,0.209222666666667,0.223077020860495,0.23767840785169,0.198181201450026,0.217021306715064,0.210541173333333,0.218348496240602,0.216749969230769,0.238850664251208,0.220144586894587,0.229471499013807,0.212125835370823,0.133834572922719
"26",NA,NA,0.195799256668124,0.207788774973712,0.210994917680744,0.188860295395308,0.208480275229358,0.198697154471545,0.176813538821693,0.200593215063803,0.205325383077948,0.218341501650165,0.211851761888471,0.212701787487587,0.200444,0.215634517601043,0.22392159214831,0.201351009839461,0.203862613430127,0.178584426666667,0.201508834586466,0.192901476923077,0.217603804347826,0.208570180436847,0.192439250493097,0.194858842705786,0.128600581057525
"27",NA,0.18839588772846,0.201459335373852,0.180202129337539,0.169157301360057,0.169192832319722,0.198207044560944,0.165373699186992,0.192471361685525,0.183826299408652,0.194863091272485,0.187025020627063,0.174888504960657,0.178009781529295,0.18572060952381,0.184219165580183,0.174881897491821,0.168759451061626,0.179229401088929,0.16308288,0.168492481203008,0.176141230769231,0.18488520531401,0.163592260208927,0.152573471400394,0.177874164629177,0.129574549680418
