"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59112426035503
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730922573189522,0.571005917159763
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749400231896279,0.731644838212635,0.573372781065089
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748553380411788,0.748400969748076,0.728880970724191,0.571597633136095
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748297975715032,0.746330562259766,0.748164857172974,0.729218027734977,0.572189349112426
NA,NA,NA,NA,NA,NA,NA,NA,0.721573962728193,0.748672955302836,0.744101784809749,0.744070833772531,0.727051232665639,0.623076923076923
NA,NA,NA,NA,NA,NA,NA,0.732705054094995,0.720716222000285,0.746774873141986,0.741390304222163,0.741730789501423,0.725462249614792,0.608284023668639
NA,NA,NA,NA,NA,NA,0.721688400451898,0.730595571725912,0.717616465904381,0.745659006465374,0.740198444623223,0.751082533993886,0.718451463790447,0.556213017751479
NA,NA,NA,NA,NA,0.740470062163303,0.722902632858797,0.733945340759835,0.715717546827548,0.743839549056805,0.737552516313578,0.750222409613155,0.713944530046225,0.579881656804734
NA,NA,NA,NA,0.760055961626313,0.745615377212054,0.723066191372126,0.732966690781726,0.722362065099973,0.746371669284132,0.746491463305623,0.753097923474228,0.729063944530046,0.580473372781065
NA,NA,NA,0.717240638606676,0.752494479975636,0.744013789937886,0.719930417225853,0.726136627029001,0.721935742480756,0.739117023871684,0.741682309823903,0.747258353536418,0.734437596302003,0.592307692307692
NA,NA,0.707865176065985,0.711965747460087,0.74900354042942,0.741744668984732,0.715488341310873,0.717609144055872,0.717888225342926,0.727402943791366,0.734817198534013,0.739306419310636,0.737480739599384,0.6
NA,0.754526427706514,0.686788302147411,0.696715239477504,0.740805352520177,0.73002766378019,0.707456643454356,0.710578901898534,0.711321837909083,0.720295467787036,0.713018086469414,0.726235901760304,0.723776964560863,0.627218934911243
