"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765524275118004
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790105937166506,0.762832097100472
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764784362832278,0.799144867556851,0.77653910991234
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787444664826952,0.760853133523941,0.800985970483355,0.773737356709373
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812929208593569,0.792956622973439,0.766566241277865,0.797137874489185,0.774238031018206
NA,NA,NA,NA,NA,NA,NA,NA,0.799541674541675,0.809616621848254,0.795769374496953,0.76500885817656,0.796440997076099,0.775436614969656
NA,NA,NA,NA,NA,NA,NA,0.80145455890807,0.798863636363636,0.805563085530881,0.79460661722433,0.764769851726373,0.795652151279315,0.774642616318274
NA,NA,NA,NA,NA,NA,0.760225637185682,0.803349953611211,0.798039910539911,0.808234118378441,0.794503851902955,0.764661872026557,0.796475702126552,0.774018880647336
NA,NA,NA,NA,NA,0.746558101067926,0.761067370683211,0.802079242297469,0.798926636426636,0.810306969986121,0.794877543980683,0.757641484349559,0.798471936628578,0.78265846257586
NA,NA,NA,NA,0.766843408281393,0.752591416312971,0.764628078738908,0.800172463842358,0.791345366345366,0.808008219118668,0.787040789927561,0.746947226095407,0.776389460076178,0.7641975724882
NA,NA,NA,0.740348813442746,0.757734417368601,0.733086425636382,0.755814427575189,0.782166214162526,0.777660177660178,0.789286592065695,0.782741893756468,0.744587037399815,0.754114891069523,0.741945380984491
NA,NA,0.768012047507498,0.735531128202688,0.727033354815739,0.727898020485371,0.753185983208294,0.778244511608581,0.771423958923959,0.782827228631737,0.774789798206278,0.731857169745369,0.751288338235422,0.740211564396494
NA,0.743081252590179,0.74593233098591,0.735394731434899,0.689958270801504,0.70842550417901,0.735050571962296,0.776841464178178,0.744511513261513,0.793381693846866,0.767419799931011,0.722070282407461,0.730025942025213,0.686154753877276
