"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778599178599179
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871355106953334,0.778954378954379
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825317553051148,0.871013184528694,0.778976578976579
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845148594188211,0.825732162376088,0.870890092455824,0.77946497946498
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831585677749361,0.845820272913672,0.823263352304851,0.870274632091471,0.782794982794983
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80963105963106,0.830761579994317,0.84573778605265,0.822773359466285,0.870301985885442,0.782617382617383
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.860576053535902,0.809105534105534,0.830591077010514,0.845384270933987,0.820926463382458,0.869002680671809,0.781773781773782
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766388774562822,0.85823235063604,0.80975975975976,0.831209150326797,0.845431406283142,0.822660284195846,0.869727556212047,0.777378177378177
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813897193157283,0.767049207002498,0.858164526436366,0.810135135135135,0.83118073316283,0.845820272913672,0.821717990275527,0.8683461896165,0.777866577866578
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783513816280807,0.810924265072247,0.767010921063966,0.859332609875203,0.807775632775633,0.827962489343564,0.845054323489901,0.817402284120463,0.866773346463154,0.783172383172383
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805818615100101,0.781201528120871,0.809562365055639,0.7660920585392,0.857983661903901,0.806574431574432,0.825717533390168,0.845843840588249,0.814481172967472,0.865378302970622,0.783394383394383
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735157699443414,0.805781379935211,0.780303900729592,0.809446105298123,0.764732907721317,0.858066558147947,0.806681681681682,0.824651889741404,0.846150220357757,0.814782707021974,0.865528748837464,0.783638583638584
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808188600782779,0.732384431045145,0.8059427323164,0.779908944677429,0.807179040026574,0.761708318577294,0.85693615482004,0.806606606606607,0.824950269963058,0.843604911503382,0.818344578040783,0.868934296186881,0.783172383172383
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793031458612184,0.808232282639083,0.730509817563389,0.80522905832268,0.785481415522491,0.810210097990367,0.761191458407114,0.85518026165069,0.808596096096096,0.827443876101165,0.844476915462751,0.819230334325883,0.870124186224629,0.776201576201576
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830795342787348,0.793023040466029,0.807743045848476,0.73045183982684,0.803404535243084,0.784576607112081,0.808325029064939,0.761047886137619,0.853575088925062,0.807351994851995,0.826023017902813,0.844241238716976,0.817345746485244,0.869098418950708,0.775846375846376
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75769819406183,0.830858792550998,0.793612310696938,0.808669101202125,0.732181508967223,0.802653626084474,0.784511977939909,0.808001162597575,0.76101917168372,0.852075420510038,0.807673745173745,0.827031827223643,0.842886097428767,0.813991180128906,0.867169976475737,0.774292374292374
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814682360892093,0.755286195286195,0.828201833698169,0.793780673620055,0.807821673189824,0.731563079777365,0.797378644391764,0.783370195898202,0.805318883906328,0.762225178747476,0.846408331826129,0.804306091806092,0.823522307473714,0.841566307652424,0.807847423768422,0.865282564691723,0.77027417027417
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734491051097065,0.816709844559586,0.755990205081114,0.828193902477713,0.794024799858575,0.806301544590439,0.73000734384663,0.796503618016855,0.779772505313954,0.802819299119748,0.758894302095198,0.845790378006873,0.803780566280566,0.820780051150895,0.840823925903231,0.807413968565075,0.863846490508233,0.771428571428571
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732160397822617,0.732969418374513,0.814386686190584,0.753914906642179,0.827297674566162,0.794066890589354,0.804781415991054,0.727804189857761,0.792724248780548,0.777251967599242,0.801507224713503,0.757477722369517,0.845519081208175,0.800563063063063,0.816503267973856,0.842803610567745,0.806415137009536,0.865337272279665,0.767410367410367
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.79468790000753,0.732405967339254,0.733203515716444,0.811936810092363,0.753902662993572,0.825989023190889,0.794108981320134,0.804903725188706,0.728722170686456,0.791545135225707,0.778853334865284,0.800925925925926,0.759669592350469,0.843039729908965,0.800380737880738,0.817426825802785,0.841919822771087,0.803399796464513,0.864653427430385,0.765811965811966
"22",NA,NA,NA,NA,NA,NA,NA,0.756556538752279,0.79020781567653,0.727003437973233,0.733246078869523,0.805291169182248,0.750994796449342,0.825029345515688,0.789706290880622,0.804265970086665,0.724083951762523,0.788175352803187,0.779377549261791,0.802927254608869,0.759975879858725,0.842444384156267,0.799136636636637,0.812425404944586,0.840977115787985,0.803965172816705,0.86856501996827,0.76052836052836
"23",NA,NA,NA,NA,NA,NA,0.768924539512775,0.756707723776068,0.78852307808147,0.728568943641796,0.730628444955202,0.804967334985357,0.750241812059994,0.821999619301418,0.791288902357923,0.803837887894884,0.725146876932591,0.784259454628952,0.777488941230539,0.79692326856004,0.758722015371804,0.837267136914451,0.796820034320034,0.81114663256607,0.83746553227593,0.795446835777016,0.863463537392636,0.757264957264957
"24",NA,NA,NA,NA,NA,0.728084506690944,0.766250742721331,0.756476499622037,0.791751374143513,0.731106495313715,0.720498414522548,0.811049785987835,0.754337312519131,0.819763015132769,0.788443568957244,0.800221030192899,0.721049783549784,0.788125705916668,0.775535704027116,0.793601561202458,0.754347846894532,0.838518116597335,0.801721364221364,0.812127024722933,0.83275199736042,0.803644792883796,0.861029049729197,0.765345765345765
"25",NA,NA,NA,NA,0.718802620702324,0.722123143309679,0.767207367795603,0.740379741206812,0.776927565695354,0.72270597143208,0.720572900040435,0.797913381392205,0.750462197734925,0.812240252530059,0.772987852615097,0.799574538719597,0.709618506493506,0.791476870756743,0.782249956913885,0.798409732602558,0.755142280119069,0.837772050400916,0.798069498069498,0.814386189258312,0.820343616695341,0.810693151407787,0.858143224465233,0.76048396048396
"26",NA,NA,NA,0.718675873701966,0.710176652481401,0.712083608744996,0.769910873440285,0.744417270665659,0.760757849559521,0.714494740719519,0.698557109110643,0.788465870691597,0.761475359657178,0.793883442784176,0.767920128629273,0.768783198210791,0.712768630179344,0.784160160855912,0.772411960705463,0.780061451586115,0.752969553107382,0.826844818231145,0.776437151437151,0.810244387610117,0.809219674294737,0.805435151332404,0.833442748509218,0.728693528693529
"27",NA,NA,0.725715088902945,0.707044084831234,0.70211707436549,0.708267338463265,0.754165181224005,0.734661390012895,0.756861305624576,0.709445217533664,0.694630658239162,0.782679094390629,0.738157330884604,0.791853050347388,0.774157974930761,0.776283372938216,0.716112012987013,0.780380791619606,0.77597374619406,0.78783009466866,0.753467270308298,0.834290408150962,0.791178678678679,0.812176754759875,0.817150196790083,0.792450341110399,0.831076645330707,0.756554556554557
"28",NA,0.647364864864865,0.717633003021997,0.711243476885773,0.693184949331047,0.685606674731552,0.726084373143197,0.720707901640802,0.745943453053234,0.714924487373634,0.702164336334036,0.740496170308628,0.730443832262014,0.779757939151677,0.727664553711982,0.729836455129997,0.669323979591837,0.737281088259752,0.714418050209686,0.707473841554559,0.698038802798702,0.776270573340568,0.708108108108108,0.741702188121625,0.746223280148948,0.769835287022728,0.793957546911757,0.708069708069708
