"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757322151045179
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766635085070755,0.715481287929872
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747610468994675,0.764929331841016,0.748476062036413
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77963989019202,0.725304551835164,0.797468787145249,0.77387137559002
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816144206858663,0.775519575715764,0.743263112384674,0.800725682604961,0.787811867835469
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.781355525105525,0.799892562312052,0.780512676785098,0.752420260406063,0.767688730402492,0.725304281861092
"8",NA,NA,NA,NA,NA,NA,NA,0.801544205954841,0.794830451080451,0.805536881216748,0.766122297918823,0.753119140874243,0.788659777714152,0.756609912339852
"9",NA,NA,NA,NA,NA,NA,0.758335682442009,0.804841936603885,0.789758552258552,0.810764641886421,0.767950514545245,0.733414979643906,0.772357600839862,0.746050236008092
"10",NA,NA,NA,NA,NA,0.745304859395585,0.765616019591347,0.8067864237374,0.795221445221445,0.808380952897294,0.781183525928481,0.711434068576926,0.783423132651379,0.788055461901551
"11",NA,NA,NA,NA,0.757365704915866,0.74738590927468,0.766470247570481,0.812279084063316,0.795672289422289,0.826404551237567,0.786597389904565,0.721105720662065,0.779361427071675,0.778657282535401
"12",NA,NA,NA,0.737836625600741,0.753752097539138,0.727887836215418,0.74917613141915,0.774970259947976,0.771797234297234,0.791923288225769,0.783234879843624,0.733090827145841,0.752860997596675,0.736797033041133
"13",NA,NA,0.746237337604035,0.744307023311546,0.705436494702258,0.715887307402004,0.743848221421504,0.793226240686668,0.763007150507151,0.79389538876359,0.751501954697022,0.750923695910386,0.739835324535603,0.682848954821308
"14",NA,0.727728554135359,0.745683186385756,0.752673728117038,0.693918995554794,0.705009546311911,0.734712563354694,0.781106102260244,0.770635670635671,0.796607987074948,0.776961524088766,0.719655890463344,0.756753689580676,0.7356995954147
