"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793384393384393
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8549428305706,0.787445887445887
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79787795409144,0.851332129766399,0.769252969252969
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827019160519432,0.842165768346463,0.86388752119919,0.792496392496392
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826200625177607,0.818894204708821,0.836087972560401,0.861200010941518,0.792829392829393
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801404976404976,0.818243819266837,0.812283471989819,0.839744072971241,0.859545106406259,0.785858585858586
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847975824440827,0.807153582153582,0.827401250355215,0.824550446607433,0.822773359466285,0.857705563761694,0.767676767676768
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728667553624243,0.854095074455899,0.803142428142428,0.802038931514635,0.82496288091254,0.820200897063812,0.865282564691723,0.772249972249972
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801328682943033,0.74114876958565,0.851502682823898,0.801544401544402,0.804376243250924,0.811081520586364,0.853793675323207,0.862724984955413,0.801465201465202
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789567415407595,0.807967945523999,0.74968653387827,0.862094562006391,0.813154225654226,0.835841148053424,0.827360891800806,0.841770004899928,0.864434597078615,0.792407592407592
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804428502277551,0.794507956569196,0.809794884570669,0.764790336629115,0.841803822270453,0.810349635349635,0.834121909633419,0.821062430769956,0.809562398703404,0.844261174024837,0.765301365301365
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727234075448361,0.796683587980489,0.761877405641409,0.80142833416376,0.73662145735425,0.834207511906915,0.798198198198198,0.811452117078716,0.821522000424218,0.776808262033093,0.831555336725204,0.738572538572539
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773994443667878,0.705801638837353,0.788656307016346,0.75245590854254,0.775029064939379,0.733831369583736,0.849558389099898,0.795838695838696,0.812496447854504,0.827461054417761,0.813878104858467,0.851728759778981,0.795682095682096
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786153833202852,0.804082506290187,0.740588280766852,0.813172560165821,0.798005112885621,0.814138016940708,0.766522775347684,0.853356544281666,0.815561990561991,0.837716680875249,0.828415545238151,0.826146771701029,0.85818425515619,0.781018981018981
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795560895910663,0.756505122441936,0.771037181996086,0.68983843537415,0.797549305564175,0.7442049175619,0.773829098156452,0.728485695416216,0.852361789353108,0.796235521235521,0.805669224211424,0.806939501779359,0.823244506426445,0.843522621587614,0.797946497946498
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746599326599327,0.819330763617906,0.76317650327045,0.794026942968968,0.718141233766234,0.811503183606598,0.781129717929569,0.807054476000664,0.751457258535371,0.852930759028155,0.816060703560704,0.830107985223075,0.825911479814287,0.836436621310919,0.85940149898791,0.781351981351981
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761200439288128,0.692917049280686,0.775395767900765,0.733388893097962,0.739843968409282,0.664134972170687,0.718443197755961,0.700174498764865,0.743261086198306,0.683944791676637,0.789436004099596,0.704381166881167,0.79652600170503,0.774722490631849,0.691577776940183,0.791393128726954,0.692995892995893
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72818638404733,0.818828846587069,0.717171717171717,0.815266013134101,0.771127442314653,0.799657534246575,0.719020562770563,0.77709168538768,0.733246682369162,0.767468028566683,0.71259224518315,0.796350304455296,0.763604676104676,0.800845410628019,0.777521151987933,0.758621989370925,0.785553093714098,0.703907203907204
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727115990668358,0.706197195088212,0.815203311556657,0.747970615243343,0.817121918720853,0.786498977195242,0.777392892088342,0.711280534941249,0.782149461951867,0.749856379617395,0.783594917787743,0.729854417718732,0.841080364140592,0.788497425997426,0.79781898266553,0.836016120289411,0.801986355584034,0.849171180042672,0.777045177045177
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.783440629470672,0.73771129210494,0.69969567345549,0.816125535030412,0.712317110498929,0.793982583039878,0.755654889680195,0.762571638244339,0.698626893939394,0.756624756419963,0.685891451714827,0.724846371034712,0.681135560936857,0.79544598179297,0.741419991419991,0.756322818982666,0.777686125709976,0.725377859862048,0.790374199901526,0.733855033855034
"22",NA,NA,NA,NA,NA,NA,NA,0.735950909333452,0.788330133273097,0.707173699504768,0.72962821085786,0.793112187429601,0.736109580655035,0.80348418514641,0.743221287807999,0.773867766284596,0.676155689548547,0.796944234134717,0.767970500373413,0.792052815146986,0.739421116609397,0.858650599867366,0.787360574860575,0.828104575163399,0.831355612641701,0.822707398891862,0.859497237266809,0.787057387057387
"23",NA,NA,NA,NA,NA,NA,0.735983363042187,0.742042776468496,0.746371696408403,0.716602545737323,0.721871076209326,0.763551757152512,0.697079889807163,0.778607912185527,0.731318029143622,0.753175670953313,0.67010667903525,0.734168849061053,0.696899954041478,0.742306095333001,0.692635699723384,0.790980888647736,0.718205705705706,0.78990480250071,0.785610756286677,0.711271719874863,0.782174900158652,0.696814296814297
"24",NA,NA,NA,NA,NA,0.68139755309729,0.737611408199644,0.730419316110098,0.743425758602515,0.71865919043916,0.726159313881972,0.766860497859878,0.694178145087236,0.776728212937407,0.73479472350599,0.74569733715404,0.672454777365492,0.727094167732006,0.699600017234446,0.737556053811659,0.694310709534156,0.793806896967505,0.716757829257829,0.792547598749645,0.784797671513752,0.697909992084731,0.78816538103835,0.690842490842491
"25",NA,NA,NA,NA,0.700234209962343,0.707999201825823,0.715840760546643,0.719471741740406,0.734799713876967,0.703346907870503,0.694784949669071,0.761425715251183,0.720315273951638,0.765089146917928,0.734087599228898,0.768097393066816,0.678320191713049,0.724757661135176,0.720521916470385,0.727179870453413,0.703484977554868,0.768655422921565,0.724930287430287,0.755321113952828,0.754312884447692,0.697749802118277,0.785231686634936,0.667876567876568
"26",NA,NA,NA,0.695236589179976,0.674050148486055,0.687439981043363,0.716078431372549,0.692560807505892,0.681998719975905,0.663017230794417,0.651524824959033,0.780215138544717,0.700948882767065,0.705244122965642,0.707519929961024,0.730762510483645,0.687287414965986,0.723702664796634,0.698619808123169,0.697392459724298,0.68467701025106,0.719509254235244,0.683933933933934,0.737652742256323,0.721642195564564,0.66017112057593,0.701638492258876,0.602553002553003
"27",NA,NA,0.704687609810949,0.695113594433609,0.690406576248354,0.698202860955564,0.720629827688651,0.713024145137623,0.75958135682554,0.673372078745958,0.70704845814978,0.759855823383645,0.731913070094888,0.7650851813077,0.773147797392058,0.763606898238748,0.702004097093383,0.774348694907471,0.743436548514965,0.760542268726125,0.738009322626032,0.824689515885935,0.778946803946804,0.790181869849389,0.796257453277085,0.786570427047605,0.829708955632146,0.763880563880564
"28",NA,0.647364864864865,0.717633003021997,0.711243476885773,0.693184949331047,0.685606674731552,0.726084373143197,0.720707901640802,0.745943453053234,0.714924487373634,0.702164336334036,0.740496170308628,0.730443832262014,0.779757939151677,0.727664553711982,0.729836455129997,0.669323979591837,0.737281088259752,0.714418050209686,0.707473841554559,0.698038802798702,0.776270573340568,0.708108108108108,0.741702188121625,0.746223280148948,0.769835287022728,0.793957546911757,0.708069708069708
