"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0256669062558629
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0686571535424292,0.0279809671800811
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0970355196034916,0.0690389674333523,0.0285355958923308
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0878577117442979,0.0978682759946361,0.0705428365030665,0.0303303423244228
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0985317658780859,0.0897075678434643,0.0987108773268138,0.0723655350264869,0.0322773231463265
NA,NA,NA,NA,NA,NA,NA,NA,0.108464602668921,0.0993483222527744,0.0906917192683302,0.100368299805208,0.0732951019555964,0.0339152313604295
NA,NA,NA,NA,NA,NA,NA,0.130096221705468,0.108715748588317,0.0994067471565487,0.091210389260903,0.100085900877304,0.073536830916178,0.0339240500212718
NA,NA,NA,NA,NA,NA,0.132798457338283,0.130875973037385,0.108382539584521,0.0989496791711236,0.0906759543742189,0.0978212675551086,0.0731384673858347,0.032792490437108
NA,NA,NA,NA,NA,0.115303704615613,0.132227986855297,0.128962176076614,0.112069902245898,0.102015731524399,0.0946327057804867,0.0999887031537364,0.0774846556164855,0.0401360441907105
NA,NA,NA,NA,0.128775629922402,0.111862639532586,0.132034830518188,0.129083566975841,0.108770051776067,0.0994917456099219,0.089548733179886,0.096949668784729,0.0714481167407593,0.0325783160758294
NA,NA,NA,0.139217725495317,0.131072119211843,0.110501699919223,0.133612816446092,0.131195770289195,0.107752552981895,0.099455264509814,0.0886637258258035,0.0965532802348587,0.0683841189940651,0.0276699674558278
NA,NA,0.132522446620863,0.144828040700431,0.136509411021931,0.110884779996957,0.138480623287983,0.135832271387332,0.109607480395893,0.100028788820667,0.0874427966242486,0.0984102837580601,0.0650828692880486,0.0208993976953199
NA,0.106500840660282,0.135006729612877,0.147037413671524,0.137792349693249,0.110333521882274,0.137602550988682,0.135940789611622,0.109558494704186,0.100566421034972,0.0884628379647729,0.0994322691177006,0.0681167265832637,0.0251268578420522
