"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171742745767694
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212677927705669,0.172771883313834
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211076158028328,0.212395824304674,0.173778710816339
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209797982555657,0.212087165130232,0.213031798758582,0.175796883853288
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211714959118933,0.210964789387727,0.212094715545838,0.21181138335012,0.176696119871141
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.19932327618007,0.210750011515094,0.210452237972431,0.21070107332211,0.209976015704038,0.175725350828666
"8",NA,NA,NA,NA,NA,NA,NA,0.200731622302568,0.197733595759405,0.208961610949909,0.209549349324048,0.208462956439384,0.20562364184298,0.173166317050592
"9",NA,NA,NA,NA,NA,NA,0.196262110135893,0.200608740993799,0.195495703212573,0.206010209636445,0.206907298150177,0.204692053277142,0.201925500595823,0.168635534262227
"10",NA,NA,NA,NA,NA,0.213292334202569,0.199183107190159,0.20297263302909,0.19944325915943,0.209663179231696,0.21121721385481,0.205619973812396,0.204889498755621,0.174782596065072
"11",NA,NA,NA,NA,0.185333036453738,0.209825558084604,0.197648156783354,0.202871656182561,0.196648369753182,0.20705060214577,0.207040746036791,0.201491603439728,0.199819840721137,0.168551584203206
"12",NA,NA,NA,0.181020691623422,0.172115405449904,0.189383159788662,0.182132792446144,0.191790169751162,0.174799909930831,0.186862829266663,0.18205441285103,0.17765496451575,0.169166664138607,0.135282242630947
"13",NA,NA,0.18978168157884,0.167621619137265,0.157612078644023,0.16927368964149,0.170857567616698,0.183097984837876,0.156021074255688,0.16689820681182,0.162801483136688,0.155315519977381,0.141951743616189,0.106958883862815
"14",NA,0.182196900272307,0.195998939207386,0.189594083931393,0.186550143720843,0.237066721890473,0.222530498129482,0.249623823753205,0.25040457143086,0.266778240269829,0.262721593545892,0.242714452328917,0.255091326329895,0.2481428906278
