"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175676696945651
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175456906852194,0.174852425650999
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185474893749971,0.176676240790004,0.172045457411779
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17167236429454,0.188652488030209,0.178276061702862,0.172161196225194
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175291519729696,0.173119235907262,0.189283339541272,0.1801514379731,0.17501104027036
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.180651936979005,0.176178384042176,0.173858942683915,0.188686725510847,0.180942649025612,0.176050075809358
"8",NA,NA,NA,NA,NA,NA,NA,0.181459123057399,0.181883971062957,0.176986691760235,0.174815384860152,0.189829612964555,0.181909854644431,0.177123091983183
"9",NA,NA,NA,NA,NA,NA,0.189155769908698,0.181531794753969,0.182083591171185,0.176639267137508,0.174935614965199,0.190661087852099,0.181807372405739,0.176783397505699
"10",NA,NA,NA,NA,NA,0.174721441905182,0.184839234117143,0.178455804207308,0.17856580810477,0.171976411036046,0.170685329217655,0.185211757012403,0.175886044047083,0.169998755122412
"11",NA,NA,NA,NA,0.195529780907962,0.17612881592836,0.184801870223543,0.176344534380951,0.180075280738465,0.174967154257647,0.170051440322325,0.17237783717051,0.174302134906931,0.170267780365196
"12",NA,NA,NA,0.197576294840671,0.207458790502095,0.182922464385213,0.188022394812523,0.182687470045388,0.183257376185439,0.177748217458004,0.169992552659276,0.154055068969028,0.16974532065941,0.178397315110785
"13",NA,NA,0.220494833510091,0.205219050050823,0.230482630169831,0.201891998336773,0.201520628981338,0.176331533924036,0.188654899487195,0.181276668680171,0.179207678548131,0.167802273574191,0.179165562034487,0.16753268222052
"14",NA,0.184416808458752,0.218321265218639,0.202307635755207,0.228276264291105,0.199236118437426,0.198300615640791,0.171054151706835,0.183840808992425,0.175698958726783,0.173907844280895,0.162611364471558,0.174078377625733,0.161254925163045
