"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186211619133978
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224679296693249,0.198078621061807
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234222591572618,0.229733326244134,0.211933064242541
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215381500531848,0.235933270898538,0.231669082547612,0.217073577664662
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224809151014276,0.21828843154058,0.240451159917218,0.239542259836718,0.326439237686255
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.205422446375763,0.224424199525785,0.216821574625765,0.240163763270775,0.238571680208642,0.341330965956019
"8",NA,NA,NA,NA,NA,NA,NA,0.212908581178501,0.208702182080162,0.225521895989767,0.219165934381147,0.244690893842548,0.24486598715109,0.366441154861042
"9",NA,NA,NA,NA,NA,NA,0.225979392639973,0.216153027981983,0.2122996136171,0.228683270427178,0.222768907527788,0.24923941078627,0.250592506516247,0.359490893499822
"10",NA,NA,NA,NA,NA,0.211030811782454,0.226115411808874,0.215776085335476,0.211517645510377,0.228039088073952,0.221959550724156,0.248055549179629,0.246461239408539,0.334140741889248
"11",NA,NA,NA,NA,0.198086578293645,0.211533976496758,0.221798960579179,0.211500915244696,0.208388305013999,0.222677385708746,0.213593442098422,0.236895926728259,0.221750756100212,0.149207928556011
"12",NA,NA,NA,0.212136936357703,0.198324539474199,0.212591412914245,0.221474404727071,0.213422234993132,0.211514858414121,0.219370353302965,0.212526073318503,0.238481527374354,0.223695854732128,0.150535429758421
"13",NA,NA,0.208780679553453,0.213715322151126,0.199934077740544,0.216233774533424,0.227340952684958,0.221930006121489,0.223997470218129,0.222564571552333,0.217587264341748,0.243417843475177,0.237082600818744,0.15269719052038
"14",NA,0.204883976603413,0.195182302124468,0.199616746652763,0.199647913361865,0.210059636756389,0.197382710726557,0.209841979099786,0.205802099971962,0.205543067153059,0.200462928018051,0.210907284976481,0.186966417027025,0.13204030719282
