"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156886578860751
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154710103040747,0.157199336348303
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138708835965134,0.154685220483985,0.156609531866837
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162350459602546,0.139267466284109,0.155134546454687,0.156914741240666
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152302956204547,0.162379801733403,0.139280234204558,0.156377181253765,0.156038948556107
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153095668905033,0.151808794060647,0.161756455910801,0.138742572441236,0.155782817789684,0.155138442353755
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149754868411856,0.154062650389098,0.153139218915177,0.162279532015555,0.140088324613798,0.157203349059694,0.155596786788884
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185255227418848,0.148393179239032,0.152440715725786,0.149205196090179,0.160162618203566,0.137758143275459,0.153657164386161,0.153345868385409
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163876341171052,0.184418173234442,0.147876881720581,0.152011854478925,0.148654226093948,0.158926977733816,0.13716605390538,0.152982238913931,0.15157278339765
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176105253308314,0.165523528023714,0.185641186956534,0.148597996837684,0.153545314405095,0.151968695810724,0.16002025801659,0.138344233035547,0.156061123657307,0.151291199624839
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160210067796256,0.175365052228909,0.164657017560751,0.184664454567006,0.147630193991085,0.152907709698854,0.150476715165752,0.157836435402987,0.136729359503864,0.154013383044807,0.14817701963641
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185242089171488,0.158889855892801,0.17398596953831,0.162922017856099,0.183609237283144,0.145834728269391,0.151270531469804,0.148105308633673,0.155819888011539,0.134200335732434,0.151102486497596,0.145198475306116
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171067107652112,0.18526685130415,0.15808781500842,0.174260997020252,0.162706541607337,0.184068258789772,0.145656263449758,0.151140199337723,0.146013871337833,0.155291018412051,0.132924272866923,0.147881575123702,0.144559433370066
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174091302432193,0.171844873366021,0.185627133461342,0.158604303718124,0.171775761245186,0.161171838525928,0.182620643879258,0.145118530745313,0.149900054329458,0.143029115506269,0.153840783736195,0.131904998900244,0.145078970883431,0.143900575996759
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169316087739036,0.175423386198113,0.172790449155783,0.186548259089421,0.160284917962025,0.173139993144152,0.163141506655018,0.183574334700493,0.147261105668991,0.152026040447521,0.145287679613125,0.155457826735695,0.134481345087905,0.147385054489676,0.145589855652406
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195928169317008,0.169299605339083,0.175453783992273,0.17241746839045,0.185985134896458,0.16100707561409,0.17429518866388,0.164544862006426,0.18422451804129,0.148575620226587,0.153317284923408,0.147020204556136,0.156996403064869,0.136623101835798,0.150067536099042,0.147283855848617
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175320926302718,0.197089899661239,0.171829244126832,0.177946290234419,0.174044057730314,0.187930276893163,0.164522002785693,0.177454946566163,0.16841168225723,0.186238419971622,0.153056631529917,0.157845660972321,0.151949315315712,0.160635315855593,0.142271247138893,0.155326550274522,0.152270444979047
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192858370532539,0.173316804481253,0.195560546972141,0.170374185331049,0.175961235424759,0.172764028801796,0.186343687196118,0.16223322120343,0.175018193034752,0.165374104059789,0.18431005133429,0.149732567095927,0.154628603528883,0.147757500454065,0.156212965086781,0.137168147888465,0.149812108567519,0.145681520175878
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189122878105555,0.192397926305555,0.172674561488199,0.194173780319013,0.168866620528447,0.174266449007788,0.171618860505107,0.185154434904725,0.160475376147246,0.172470543753796,0.162388066055688,0.181868156366393,0.146794061172993,0.152085234275551,0.143903696496835,0.152048665380399,0.132766610377467,0.144248637272658,0.140568927281785
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.177374839521977,0.190286261424441,0.192997214807813,0.174728795187458,0.195078443459827,0.170817437196478,0.176323810083259,0.172995623901022,0.186781981779193,0.163222637363287,0.174685241779846,0.165625215779004,0.183236831651892,0.150950436501788,0.155623529142181,0.148707705372411,0.155978566050648,0.138336748038598,0.149238146357339,0.146113584487545
"22",NA,NA,NA,NA,NA,NA,NA,0.186503633812972,0.179743898433265,0.193515875377907,0.194381519752898,0.178182643916817,0.196400717456387,0.172889770292912,0.178820492014782,0.174776031885161,0.19100236684911,0.16564611691802,0.176901982593887,0.166946641507861,0.185044003509153,0.153637822609353,0.15821141354352,0.151847503296242,0.159647546663542,0.141757096052343,0.152160429717963,0.152458238531742
"23",NA,NA,NA,NA,NA,NA,0.181835129838009,0.185759914133767,0.179764405895417,0.192912296883024,0.19463489766522,0.17856445016604,0.196613375156375,0.174337186971523,0.17961789197941,0.175183280098539,0.190989022087165,0.167474089941342,0.178701256642267,0.169598632649026,0.186192762393933,0.156272882201269,0.160726438736844,0.154860730961727,0.161362366788548,0.145027140645816,0.155649651277697,0.153662539125193
