"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195138891478456
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214373061305145,0.216319737559981
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165827720324298,0.179219981889713,0.193541547581162
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166160539567008,0.181094290134085,0.160461386448793,0.149848928745012
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173570931566814,0.169186590112537,0.172208883420145,0.154677606315539,0.152454815959257
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.186011705237416,0.192759815801089,0.170882858441099,0.15419101550705,0.16952952819486,0.165936929729182
"8",NA,NA,NA,NA,NA,NA,NA,0.175064915568758,0.185518863830482,0.191069988639398,0.182478932993803,0.17536521817356,0.176465455018721,0.1722563032691
"9",NA,NA,NA,NA,NA,NA,0.215855980950837,0.198104145134598,0.204410444082004,0.204847069970907,0.199356254712563,0.215524037141282,0.210579530661277,0.210004661803369
"10",NA,NA,NA,NA,NA,0.195609109627472,0.20567108652878,0.203831986993215,0.201552382711759,0.189690154427006,0.194077164755103,0.2320300456461,0.201547665949522,0.191439753914986
"11",NA,NA,NA,NA,0.180342069952444,0.172212841060994,0.182423365733402,0.160237162128951,0.170998325054893,0.167967421375232,0.165529839306743,0.185692434029083,0.174892916490294,0.158295042583937
"12",NA,NA,NA,0.205152191918049,0.189575461277295,0.183081094095291,0.188873084915623,0.196284409256886,0.186884031872153,0.181412309462971,0.17302332557746,0.157630160195796,0.172943675997248,0.191329166923346
"13",NA,NA,0.21393145092779,0.210684989439011,0.223872068466563,0.205567069467757,0.205696660143599,0.191988508801302,0.197315356379871,0.198886966518465,0.188800747595464,0.170352017751881,0.189669596678496,0.192763207620299
"14",NA,0.184416808458752,0.218321265218639,0.202307635755207,0.228276264291105,0.199236118437426,0.198300615640791,0.171054151706835,0.183840808992425,0.175698958726783,0.173907844280895,0.162611364471558,0.174078377625733,0.161254925163045
