"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155041872395191
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166147379813257,0.213064716498174
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142815341864611,0.163695159173005,0.169126036332048
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196474065351636,0.155354934987222,0.179908471062798,0.190959113545905
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17145198547865,0.194442631422594,0.15882034668206,0.181536138264886,0.185483110930836
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158809881952762,0.152623144873246,0.183225239217463,0.138234658035873,0.157397790869181,0.174323305803296
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166517952865639,0.162699194201204,0.170927467625571,0.180119817976474,0.160989304470598,0.168645502709707,0.186622768413108
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231013091148479,0.173512036710553,0.179239678006649,0.172095675512407,0.201597918813311,0.158086797038615,0.182011877203766,0.197393855578119
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179108486229317,0.207407295475462,0.169535226734763,0.164840915368649,0.172594265252947,0.193202691975615,0.150255738063765,0.170410065548406,0.207807556953248
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190200481669126,0.181362615347906,0.210796697503044,0.160137010031005,0.161448016757132,0.162487283314752,0.187530842991031,0.14773255560637,0.170917403697925,0.179968538775008
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188281974441819,0.200939852130671,0.193092372150882,0.209345860590587,0.182096875677056,0.175928009715566,0.192293112685223,0.200446287044609,0.178163881829377,0.201398783415476,0.204660837675718
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192782769947268,0.165489111720504,0.191016915673223,0.167935929285384,0.202243952706898,0.153325876132662,0.153293705066029,0.152858261971819,0.170778760307184,0.137619653267997,0.15954303551694,0.148541810171784
