"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846910112359551
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857579022988506,0.843231674692349
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836975806451613,0.855227148330597,0.856139646869984
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811403043840388,0.828145161290323,0.835608237547893,0.859149277688603
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829193454120397,0.795525100325585,0.805013440860215,0.849394499178982,0.829922418405564
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782288167226577,0.828243717124489,0.813750283940335,0.820658602150538,0.845409140667761,0.824973247726057
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691380908248378,0.76685952469827,0.824974430157802,0.807814038010146,0.841787634408602,0.842364532019704,0.841894060995185
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755417956656347,0.691195551436515,0.761384845091452,0.807367767387493,0.806011963352767,0.848911290322581,0.834376710454297,0.831326912787587
NA,NA,NA,NA,NA,NA,NA,NA,0.767227564102564,0.641511867905057,0.66014828544949,0.674132138857783,0.74884935710111,0.801923222533505,0.789784946236559,0.773185207991242,0.740569823434992
NA,NA,NA,NA,NA,NA,NA,0.73118609406953,0.737083333333333,0.672729618163055,0.663113994439296,0.644705735971133,0.759880917592051,0.729688801393201,0.768077956989247,0.706066981390257,0.805711610486891
NA,NA,NA,NA,NA,NA,0.645836751435603,0.620120427175642,0.715480769230769,0.660345717234262,0.655236329935125,0.72950105760856,0.693454120397428,0.72548648444007,0.708924731182796,0.820462164750958,0.801029962546816
NA,NA,NA,NA,NA,0.714285714285714,0.63291632485644,0.650215860031811,0.706057692307692,0.668859649122807,0.641519925857275,0.72237775289287,0.694056838106371,0.707412735670478,0.687809139784946,0.804563492063492,0.821227929373997
NA,NA,NA,NA,0.627450980392157,0.711374832064487,0.621595570139459,0.62706203135651,0.696634615384615,0.688338493292054,0.635032437442076,0.681068806768695,0.682568673290473,0.676376164155372,0.671962365591398,0.804563492063492,0.833868378812199
NA,NA,NA,0.66573199527745,0.620499108734403,0.753545305269443,0.598584905660377,0.599965916837082,0.695817307692308,0.637383900928793,0.631881371640408,0.707571233047157,0.699736995908825,0.728250170364201,0.737809139784946,0.823592296113848,0.806581059390048
NA,NA,0.668590455049945,0.661058638331366,0.659358288770053,0.712942230183609,0.630270713699754,0.616212224494433,0.690737179487179,0.635577915376677,0.646153846153846,0.723497573721538,0.769286966686148,0.742310895737109,0.735349462365591,0.776349548440066,0.778558052434457
NA,1,0.71165371809101,0.732634789452971,0.666844919786096,0.684729064039409,0.631275635767022,0.604067257441491,0.743477564102564,0.696594427244582,0.631603336422614,0.70461615030484,0.74926943308007,0.742538048004846,0.749422043010753,0.772116174055829,0.754815409309791
