"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622781065088757
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7165687596302,0.560650887573965
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762028038368293,0.713544876733436,0.591715976331361
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742623878907065,0.751287024349109,0.702831278890601,0.588461538461538
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739661349079788,0.741807455081791,0.76543691367134,0.716140215716487,0.671301775147929
NA,NA,NA,NA,NA,NA,NA,NA,0.71690139888171,0.740241962635098,0.733187330532463,0.734078212290503,0.715032742681048,0.608579881656805
NA,NA,NA,NA,NA,NA,NA,0.743027411564459,0.702434455020416,0.743128398252515,0.747733976937517,0.748944871930009,0.700804121725732,0.628994082840237
NA,NA,NA,NA,NA,NA,0.710979108920221,0.725256310302281,0.672777857040947,0.725937801772887,0.724993295789756,0.725192368504269,0.676656394453005,0.58698224852071
NA,NA,NA,NA,NA,0.725958299504224,0.724312377263417,0.732945326712228,0.698659546569377,0.729571676541801,0.738386818032836,0.743752503425741,0.687687788906009,0.655029585798817
NA,NA,NA,NA,0.770927078574692,0.726962376271831,0.711698333111284,0.735172165134307,0.696167002968972,0.729528332127082,0.737296266499806,0.715583429956783,0.688978235747304,0.630473372781065
NA,NA,NA,0.689753555878084,0.729209018577737,0.707683176917401,0.712931520975025,0.727094790913071,0.690886377378744,0.721459718926591,0.707282262149519,0.716053546958996,0.715514252696456,0.613313609467456
NA,NA,0.700105036035801,0.697166328011611,0.736201366681894,0.718830125634527,0.694379544570778,0.695921394271854,0.668200408997955,0.674845320920031,0.680888531331009,0.714071887846527,0.672544298921418,0.48698224852071
NA,0.997065141417025,0.700377339279123,0.69717213352685,0.738960902999848,0.699329751766311,0.688029466528454,0.691716769799517,0.656188641814266,0.705074018148206,0.683057715801079,0.701477811742384,0.665716486902928,0.570710059171598
