"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781166554281861
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801982352481845,0.778287255563048
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779804637834806,0.808649192673764,0.783913519892111
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.789387144992526,0.788069566241705,0.795198035694144,0.767899527983817
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820977999219292,0.791322798091296,0.788874719220771,0.794437821563983,0.782662677006069
NA,NA,NA,NA,NA,NA,NA,NA,0.816166603666604,0.807319678174879,0.78489170116132,0.776248990091049,0.787536548756258,0.784266689143628
NA,NA,NA,NA,NA,NA,NA,0.828347961454616,0.816794241794242,0.811643841805459,0.800525324824652,0.782262989893868,0.789796541641722,0.787927343223196
NA,NA,NA,NA,NA,NA,0.80731996876818,0.832118117810449,0.817117117117117,0.798875112046033,0.783955674370473,0.785967376473144,0.7899060360759,0.789881995954147
NA,NA,NA,NA,NA,0.780005357310307,0.804596171778517,0.81449678124413,0.810823017073017,0.811896848976405,0.787492454294584,0.770313947776237,0.784426108609455,0.762820296695887
NA,NA,NA,NA,0.778721357417665,0.754926880784857,0.80695565598878,0.814238512371292,0.797745778995779,0.78563425283368,0.784675390939404,0.767439255016895,0.776015686682805,0.743112778152394
NA,NA,NA,0.766063591985223,0.797717888685081,0.761973819124291,0.787247036067842,0.813084484515251,0.780068355068355,0.786634986554476,0.77718358341957,0.769448616387392,0.762507786945695,0.717934086311531
NA,NA,0.754020440217078,0.740678923360427,0.724142149682796,0.724001096058034,0.754909783266776,0.787772712008151,0.742608123858124,0.741463718771686,0.717621737380706,0.724097142464489,0.710961763710664,0.638727242076871
NA,0.99818202864745,0.772471563185833,0.767394440527224,0.76181325779939,0.750257296933343,0.776559651066393,0.809866440130002,0.769126031626032,0.765197598600509,0.737087142117972,0.744457077642526,0.750551029438559,0.672477242076871
