"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821741785079929
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772452126803626,0.81254625518058
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780906549568681,0.771640830338465,0.815404825340438
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776753840521953,0.776099533287742,0.770224749235638,0.79448823268206
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788878141325782,0.773490987073207,0.784813015153151,0.771588531888645,0.856729203670811
NA,NA,NA,NA,NA,NA,NA,NA,0.761181093690767,0.788714664465753,0.762976771235484,0.769754886081417,0.773109209891112,0.853260065127294
NA,NA,NA,NA,NA,NA,NA,0.748384706019979,0.747999707739193,0.770324576405828,0.757252011454712,0.752642983119174,0.75765702944805,0.820261619301362
NA,NA,NA,NA,NA,NA,0.725596987295098,0.739296098907809,0.74178810667943,0.751950551279895,0.749591088587088,0.74673241430611,0.741897763235531,0.778234162226169
NA,NA,NA,NA,NA,0.725697928920114,0.707374719537534,0.736223657387153,0.736760638399258,0.745690314810142,0.729094890814162,0.741499958007894,0.765937617336266,0.820002590290112
NA,NA,NA,NA,0.727365118103891,0.695528631169644,0.704642463548688,0.706484700775935,0.715486487173351,0.723453884192671,0.717771939070901,0.702073690146253,0.683185377889825,0.6850207223209
NA,NA,NA,0.710569242328377,0.733628678546484,0.704349040271041,0.687767554009522,0.703299493968066,0.710263384168359,0.715958189058981,0.710496561249737,0.680051590301023,0.724707665075363,0.817338291888692
NA,NA,0.697010404371074,0.709756974652009,0.729322044027934,0.691583322211027,0.704149164019925,0.717404414458453,0.685786012143648,0.709924878038523,0.717102103232607,0.70248473287022,0.698058252427184,0.777216548253404
NA,0.999123233460413,0.692552501234699,0.7110348782031,0.714428860992697,0.68589620966371,0.705408975124152,0.714433645054481,0.701502442919135,0.71863558810198,0.715273685057728,0.703240830723824,0.707131362978061,0.757058540556542
