"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816949716949717
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855072761091964,0.819180819180819
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815941728543967,0.840992395645276,0.814862914862915
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833877353821498,0.782301835588557,0.840144428032168,0.811222111222111
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831294401818699,0.826465320166859,0.759601975048057,0.822255046774988,0.821822621822622
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834411196911197,0.837489343563512,0.826966133251632,0.786523312351589,0.829031949231358,0.802297702297702
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853755953457527,0.831901544401544,0.835897982381358,0.835108764818175,0.771936602465041,0.830604792384704,0.798101898101898
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791872852398135,0.847870320130222,0.823852423852424,0.829809605001421,0.822788762932761,0.779286495043534,0.813447125116254,0.778687978687979
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823048496927421,0.784397522899777,0.848371465605595,0.81277885027885,0.817753623188406,0.824143904220971,0.759328709811164,0.807723343727775,0.781729381729382
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777858763715747,0.80552233848198,0.775122754290418,0.823099415204678,0.806922994422994,0.810798522307474,0.811281845820273,0.722673476310731,0.807750697521746,0.774680874680875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.834002531991213,0.787190498075487,0.804924431157615,0.777668769202791,0.833303189244589,0.802799227799228,0.819884910485933,0.818216634064717,0.747870415740078,0.808933749111002,0.761627261627262
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.741134237786023,0.831954597922278,0.77613531912449,0.806660023251952,0.783292016424668,0.83060152529089,0.808596096096096,0.80399971582836,0.805124790836888,0.732859673589386,0.801726024399584,0.763924963924964
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.842535644394744,0.726359577922078,0.827529819161216,0.776512322628828,0.80026158445441,0.774170391569436,0.812759992765419,0.807593307593308,0.807736572890026,0.80356932431477,0.743008179111228,0.799544559330379,0.735242535242535
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781178708824743,0.833738118535085,0.734843653370439,0.820808871898621,0.75566941460332,0.803678790898522,0.760018951539573,0.810536866220534,0.791350278850279,0.799573742540494,0.803433810185949,0.742584146847085,0.809398763608512,0.72964812964813
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838080168776371,0.769721611906626,0.822896281800391,0.722880913729128,0.816225843686778,0.757550841615442,0.791388473675469,0.75495085042641,0.802495930548019,0.780743243243243,0.80484512645638,0.784338101859489,0.738315555388037,0.801315717490016,0.693894993894994
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763128252219161,0.815202563370451,0.764729651236205,0.822280367626503,0.715604707792208,0.787948838883441,0.739117165508129,0.769843049327354,0.730864209347512,0.779122957737988,0.750482625482625,0.769799658994032,0.761671890834531,0.726254193207945,0.778776191257727,0.676856476856477
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850818033340842,0.761487603305785,0.82270549792202,0.759329410477225,0.816732771875874,0.705676020408163,0.788569424964937,0.749113144137416,0.772359242650722,0.723728667553624,0.785200759631036,0.762194337194337,0.768037794828076,0.767946784190804,0.693019486638272,0.781436347721429,0.716749916749917
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750526719019345,0.844756701959901,0.75561371288644,0.823748453412011,0.780042259093702,0.822158058428851,0.723663613172542,0.79289490995296,0.715728586200954,0.776768809167912,0.734798089531667,0.766447368421053,0.773798798798799,0.785450412048878,0.771340529329971,0.720242357996306,0.784944471798238,0.681862581862582
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762958908034216,0.751691885334866,0.838653131335886,0.759234771962045,0.824838996224739,0.762322061435631,0.82466102879508,0.717286062152134,0.783207561220817,0.721035359338197,0.773584122238831,0.76408683250859,0.77551320311087,0.779574217074217,0.747684001136687,0.774946383540336,0.708623873958765,0.788343180699163,0.695537795537795
NA,NA,NA,NA,NA,NA,NA,NA,0.816881258941345,0.756466663938116,0.735422120070655,0.828607231358414,0.740030609121518,0.822562735953809,0.773930684984553,0.811477844562483,0.719841914038343,0.769644652409736,0.742183460676739,0.771632619166251,0.760631526556084,0.772999939711822,0.76964821964822,0.794210002841716,0.776996771228583,0.706824092570955,0.774502160949724,0.71984681984682
NA,NA,NA,NA,NA,NA,NA,0.779558895460003,0.815535351253671,0.755571358408709,0.733815361041946,0.808184557332733,0.745218855218855,0.813243551917769,0.742248991926998,0.803069087223931,0.717440669449598,0.773157169631,0.741257109208939,0.768393954492609,0.768934789475195,0.803814734430578,0.761717074217074,0.818520886615516,0.78342485446961,0.752073046624703,0.79508589091307,0.703185703185703
NA,NA,NA,NA,NA,NA,0.737439096850862,0.762599493085508,0.77532753557714,0.759341873695412,0.738688842069421,0.81746311106105,0.711166207529844,0.774106944576631,0.720092431244791,0.771137650265586,0.67838783240569,0.749010165200015,0.702454472338714,0.719938548413885,0.732591862323765,0.760897088081027,0.70040755040755,0.791169366297244,0.756899436732578,0.678574120839772,0.762999890584824,0.662359862359862
NA,NA,NA,NA,NA,0.721992192858835,0.76222816399287,0.774134021076971,0.791111362096228,0.76632014079319,0.744163527634127,0.835203593151611,0.72983164983165,0.808464991592906,0.740729516545866,0.795044730220855,0.704376352813853,0.78140786158448,0.717584879646119,0.75668908819133,0.752596265206696,0.780275969132453,0.748530673530673,0.784001136686559,0.768877707336617,0.71423994572387,0.79067509163521,0.667410367410367
NA,NA,NA,NA,0.685332027064262,0.695602559145954,0.714723707664884,0.741793765841078,0.772471011219035,0.723243154749724,0.706468535189087,0.800454775850417,0.702173247627793,0.77411091018686,0.6883223476526,0.785094003354767,0.693167323747681,0.741525897057181,0.708533205032458,0.723189669490118,0.702968117384688,0.740753300777718,0.715159802659803,0.687055981813015,0.738404704107846,0.673240737250763,0.761351824498058,0.702819402819403
NA,NA,NA,0.710558220441727,0.716529406361939,0.701302021625532,0.728187759952466,0.750051136110988,0.778527595813568,0.735066303769492,0.724579156823937,0.820314259968461,0.728497092133456,0.792777037530535,0.74685371787425,0.793245037741124,0.703448709029066,0.778295622385781,0.72235666685816,0.755057299451918,0.738411324980618,0.781572164948454,0.749839124839125,0.781351236146633,0.7579776578445,0.728638196826354,0.777552108977515,0.745887445887446
NA,NA,0.768451753461241,0.700788923444556,0.689778954780639,0.712806954092513,0.709447415329768,0.720872426519632,0.745289323093141,0.702779028363279,0.719083189682692,0.791774611398964,0.706305479032752,0.748596173979252,0.707734592687998,0.785015376013419,0.696066210575139,0.764645831523291,0.727243350376285,0.743863145656868,0.73806675153383,0.749363206125279,0.761792149292149,0.775291275930662,0.750589191864439,0.681561192567186,0.778229115378303,0.656998556998557
NA,0.999786036036036,0.750952280553799,0.711392827649219,0.712610599148884,0.733472182382799,0.740754604872252,0.723798301391792,0.75415537233642,0.686029140915974,0.731649960629083,0.817026638882631,0.735347413529232,0.775816122584943,0.765079004301673,0.786954850433324,0.718334492888064,0.770159738857377,0.761575802837939,0.754359740906826,0.726126324454186,0.771986344727799,0.753582153582154,0.782281898266553,0.797200160260187,0.694970035053334,0.805090541058045,0.647818847818848
