"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668934911242604
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723459167950693,0.656508875739645
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784365974491409,0.705494029275809,0.643195266272189
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781698995858288,0.784224728575946,0.716284668721109,0.675147928994083
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.759597763831404,0.77455081791365,0.772806999051333,0.702474961479199,0.679585798816568
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.722722146356046,0.753895957276519,0.77262894431036,0.761115210287762,0.702667565485362,0.655621301775148
"8",NA,NA,NA,NA,NA,NA,NA,0.748352040063776,0.72610385286944,0.75212841236465,0.759160930842347,0.756154738062612,0.707290061633282,0.736390532544379
"9",NA,NA,NA,NA,NA,NA,0.758610922459183,0.747960463009138,0.720684799815204,0.741957091045447,0.749924018950568,0.751693896911563,0.701988636363636,0.713313609467456
"10",NA,NA,NA,NA,NA,0.745001826154981,0.747065966072982,0.744471681194234,0.716700127047537,0.73397415866475,0.749259557224159,0.754666385580268,0.691770993836672,0.691420118343195
"11",NA,NA,NA,NA,0.778102158519872,0.743783978204594,0.742496617804915,0.742213820972609,0.710579594942557,0.732537744921143,0.752263043413486,0.761285970275113,0.688246340523883,0.665384615384615
"12",NA,NA,NA,0.719465021770682,0.75471248286889,0.713941767866089,0.720879273236953,0.735540329510043,0.698686722513231,0.725748295959696,0.749256577575162,0.750829556234848,0.692916987673344,0.668047337278107
"13",NA,NA,0.713526604998188,0.712708563134978,0.751035956296635,0.692837338946703,0.696138069381305,0.705782814625432,0.678075467596084,0.717387863967082,0.731322070260123,0.750186571097291,0.69143875192604,0.561834319526627
"14",NA,0.689288534047392,0.634404258782533,0.636497532656023,0.709902257499619,0.637701339756134,0.624338589952308,0.668079914496897,0.630418203805991,0.676790275529356,0.621742498733649,0.643942236745019,0.582631933744222,0.500887573964497
