"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839009608900877
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837983983619216,0.835456001348618
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811836623726597,0.834517990230528,0.826657113958193
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822459612510061,0.808180038437359,0.833438316110952,0.830029501011463
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849603953417765,0.815755073588594,0.81563362530532,0.833891390544609,0.826416891436278
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.821147546147546,0.842869896483923,0.820521803495458,0.810177876282579,0.826436398656915,0.817561530681052
"8",NA,NA,NA,NA,NA,NA,NA,0.841097052177427,0.823926242676243,0.847714532009021,0.817295834770611,0.80923337400711,0.827077227413519,0.822129973027647
"9",NA,NA,NA,NA,NA,NA,0.84058203240937,0.838055455947726,0.824739337239337,0.843419283483692,0.816430953202254,0.8023100827005,0.828120287704868,0.817277478084963
"10",NA,NA,NA,NA,NA,0.797971754599831,0.835821196515399,0.837869047009204,0.820780964530964,0.846381726376359,0.820971671265954,0.805215078063348,0.830456805226581,0.810879130141605
"11",NA,NA,NA,NA,0.834086532033573,0.792501072230686,0.835037551397256,0.835757361018618,0.808088026838027,0.831672973774,0.809993747844084,0.793710331864724,0.810511812731548,0.805219993256912
"12",NA,NA,NA,0.804209671977264,0.824061628216164,0.781604479848981,0.820395114964575,0.834665943798417,0.806010206010206,0.82926082147814,0.814940856042313,0.791900711599026,0.808743937461499,0.794027309507755
"13",NA,NA,0.797568742783643,0.794043449061958,0.810550152404903,0.771501299743433,0.802985698860196,0.825089362452971,0.786198261198261,0.80269461673028,0.794729863746119,0.770921066839434,0.787731244089296,0.735505731625084
"14",NA,0.763287516851522,0.788041018565691,0.792145790165807,0.809866621298228,0.773432660069822,0.801223538551175,0.831586638890312,0.790391702891703,0.809429125462642,0.793532611820168,0.766325741037365,0.785543090658268,0.741109238031018
