"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.901393206039076
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791118650431797,0.889172587329781
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812642503209397,0.784592072091402,0.903483940201303
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815819159901238,0.810884833651274,0.767798905755511,0.898710405565423
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801332172129232,0.810383883438179,0.800771454966466,0.767093547175884,0.911264061574896
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.785393736723841,0.804039579653461,0.804545537153821,0.808102316764448,0.77562087646838,0.915066237418591
"8",NA,NA,NA,NA,NA,NA,NA,0.788284090046474,0.782044120792662,0.797636018004505,0.803966570518396,0.797545501445728,0.774608432119294,0.900782637655417
"9",NA,NA,NA,NA,NA,NA,0.747116908193705,0.782354011125442,0.781375415359788,0.788145379482435,0.802938450394502,0.789376957132059,0.769511344740653,0.904020500296033
"10",NA,NA,NA,NA,NA,0.766656087868573,0.732599265688416,0.77503526894796,0.776162901514462,0.781364630938029,0.790538049531504,0.78197770819086,0.767300059003379,0.920228315571344
"11",NA,NA,NA,NA,0.760024060540268,0.741577164319552,0.724278224186747,0.751101249292696,0.759891069314521,0.784320721885777,0.784899615493459,0.787076269661304,0.76111811403744,0.82653382178804
"12",NA,NA,NA,0.749097150822524,0.755689030302544,0.742687657960562,0.719750710270008,0.746868150425593,0.767573769380809,0.779881365010607,0.783022517388471,0.764102508728359,0.755189615405246,0.851992673179396
"13",NA,NA,0.720282701786234,0.73560520306074,0.747022835212952,0.728721403205846,0.728491733980369,0.741893551035735,0.7511806913027,0.761506974817992,0.769766647887031,0.753622239019064,0.739508126374511,0.8479592214328
"14",NA,0.690942779895777,0.659266261780504,0.672804170950648,0.675690409947957,0.669510166908556,0.673194754111868,0.662255679794991,0.656679324242187,0.703419827852076,0.700569749901991,0.671275720164609,0.654336748377407,0.750934354647721
