"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808280608280608
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850108047486186,0.811421911421911
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812059477592251,0.846805076864161,0.807492507492507
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835845254648724,0.792619954016057,0.850552546638219,0.816505716505716
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849403239556692,0.836882232330136,0.786598695865214,0.839091306964276,0.806859806859807
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84225117975118,0.849005399261154,0.832251184275647,0.794372620707851,0.830358608238963,0.792229992229992
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846344275637547,0.840143715143715,0.832281898266553,0.825717046499022,0.775404244091817,0.814411346353739,0.795271395271395
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805043215253118,0.846630644480617,0.834765122265122,0.832033248081841,0.823236548749735,0.782725867852701,0.817611740248372,0.798090798090798
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808291811991364,0.7964767365066,0.835876740821125,0.83471685971686,0.825490196078431,0.826276778770239,0.763145000188459,0.815587559494502,0.8000111000111
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772835640834147,0.814150473343298,0.791370349454904,0.827033218785796,0.82251716001716,0.825390736004547,0.810062218660885,0.736308469337756,0.815108868100005,0.784748584748585
