"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596745562130177
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709736132511556,0.629585798816568
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767300516496258,0.717319915254237,0.492603550295858
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740025624981377,0.774565194476652,0.692873651771957,0.421301775147929
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729853415237477,0.743240666249516,0.741909982080742,0.693629622496148,0.573076923076923
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.722024064298283,0.7313150292222,0.746625547510503,0.753011489406556,0.65845531587057,0.619822485207101
"8",NA,NA,NA,NA,NA,NA,NA,0.734276337507814,0.697413699393297,0.71798964572493,0.738199100146003,0.742097607252029,0.71063655624037,0.781065088757396
"9",NA,NA,NA,NA,NA,NA,0.731830111447255,0.723113172207277,0.710187242253158,0.738342872464604,0.757259914782039,0.748261831980605,0.687514445300462,0.622189349112426
"10",NA,NA,NA,NA,NA,0.728361914303976,0.731973631334778,0.732155734116253,0.705129968951484,0.709135793011268,0.715857691963887,0.732617265732054,0.686310670261941,0.677218934911243
"11",NA,NA,NA,NA,0.760318162783615,0.721653262524585,0.714680838849371,0.726431626783168,0.699947006909484,0.721316581557052,0.734182533297578,0.720337303678718,0.648675847457627,0.65
"12",NA,NA,NA,0.706619448476052,0.745465966194609,0.724658089496401,0.712607653455255,0.734914625666383,0.691883394818906,0.72698209976473,0.730204701886118,0.721458838410456,0.650635593220339,0.666863905325444
"13",NA,NA,0.712491651711759,0.721740493468795,0.74955839805086,0.713776426806968,0.702004512481898,0.704136903298612,0.658228536099844,0.718137823142692,0.730893000804505,0.751116264361758,0.698237673343606,0.581360946745562
"14",NA,0.697575876903691,0.620514113882374,0.642438896952105,0.707241225064718,0.612247762343204,0.641187824747595,0.662978584422608,0.614666347349326,0.662404969890752,0.656967909180299,0.668917466006114,0.53555469953775,0.510059171597633
