"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816180883344572
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809649045177299,0.792376095751854
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760283999414434,0.809921479823351,0.791789447066757
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803221656893182,0.768542739261462,0.804179876276495,0.781706001348618
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835680426642378,0.793571058985857,0.800288557608877,0.817741568841806,0.819423465947404
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.800532744282744,0.81767128585473,0.793807491088881,0.772852751113621,0.794167122170454,0.753406102494943
"8",NA,NA,NA,NA,NA,NA,NA,0.826939222148228,0.803800872550873,0.815994661548693,0.800876379786133,0.795360756762709,0.794118361574568,0.808858732299393
"9",NA,NA,NA,NA,NA,NA,0.816717791747241,0.808609247021726,0.814731383481384,0.814725559507287,0.784363861101529,0.79486375138549,0.796922182600623,0.788261126095752
"10",NA,NA,NA,NA,NA,0.786665677703597,0.812944896705709,0.840877203467491,0.812657893907894,0.834561321709461,0.817195225365068,0.782884193265737,0.815141813512411,0.793485333782873
"11",NA,NA,NA,NA,0.827144278393957,0.792987034847882,0.820681830437171,0.824630454951648,0.815505890505891,0.82570381173375,0.800757804415316,0.781351777802532,0.809443070702864,0.802839683074848
"12",NA,NA,NA,0.789219951075601,0.808665183929958,0.773098500721738,0.819036942894081,0.822468253561691,0.79673384048384,0.824532749971085,0.807607149016902,0.782056633431966,0.80278508029881,0.800315239379636
"13",NA,NA,0.782375289568388,0.774996701604426,0.783340825885849,0.756364592252576,0.78731586531738,0.795952649283677,0.781461837711838,0.793747198849179,0.774140867540531,0.761979024623213,0.768300580441969,0.706682400539447
"14",NA,0.765343279621412,0.79320195805514,0.792324768679733,0.802253793597642,0.774094637616773,0.808232065925269,0.829815753974352,0.780706624456624,0.80991932685635,0.785970018397148,0.768034210358966,0.783714308024675,0.75416975724882
