"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869532637655417
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763493000053639,0.895592806394316
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.798290321419573,0.787632087110444,0.895842584369449
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803432389418671,0.79649785840262,0.766565198734109,0.849023090586146
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803152321590452,0.80604812432984,0.798357748743236,0.749418012122512,0.881466474245115
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.777755511128148,0.803224312740068,0.801295665019771,0.799092010701988,0.771640830338465,0.887017095914742
"8",NA,NA,NA,NA,NA,NA,NA,0.774069888074493,0.750786774563144,0.791000565999383,0.769212994815263,0.780515423100457,0.779724293300434,0.887322380106572
"9",NA,NA,NA,NA,NA,NA,0.75053314295224,0.770835724629736,0.771453637482237,0.788441886641246,0.786008219768465,0.786869668502322,0.772677412433621,0.876433910597987
"10",NA,NA,NA,NA,NA,0.734710863181737,0.725218610293914,0.759984036835927,0.748877284346469,0.745871533910898,0.756227136659492,0.747857322823309,0.752167033202811,0.928063943161634
"11",NA,NA,NA,NA,0.742336203531,0.728145228519409,0.709725210478983,0.729410983815706,0.743310827839324,0.765584550611677,0.769218836406876,0.769191232048375,0.738919433567559,0.847700192421551
"12",NA,NA,NA,0.730220979318254,0.7309863899764,0.717065786564456,0.675412027076181,0.71936378008312,0.736833438871958,0.744838030135232,0.744229156552059,0.739149119965447,0.73940352947487,0.849235864416815
"13",NA,NA,0.724740821346686,0.740788368000633,0.74636334091841,0.72607468653867,0.726110479579297,0.741317439600895,0.745132163301785,0.765571408211138,0.771136825653155,0.75886429351282,0.736461406426004,0.839337255772647
"14",NA,0.680349796871046,0.657600229236382,0.669301645049035,0.678236658546383,0.675455585913568,0.676627793579625,0.668053282423321,0.664035613461787,0.702382016289567,0.691396503872326,0.657209804556743,0.665377085233063,0.753570899940793
