"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761571761571762
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85075086164451,0.797324897324897
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787456183332705,0.858533016029323,0.791475191475192
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802514670877425,0.786184086540274,0.818028885606434,0.77045177045177
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.823167092924126,0.817368197779925,0.787418491575892,0.840383773729416,0.8004107004107
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815626340626341,0.840998863313441,0.828568735122905,0.837746409860164,0.846524700475956,0.776257076257076
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820962952914933,0.824570999571,0.808162830349531,0.816325328179868,0.754899928385662,0.80498112588216,0.804018204018204
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774682465997301,0.843378850907337,0.827895752895753,0.836047172492185,0.799179844924701,0.79537145226339,0.824162973904481,0.808669108669109
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811389304102309,0.773643959914622,0.838740429251824,0.819170956670957,0.814364876385337,0.793087601046405,0.803814405789454,0.782489468789321,0.786147186147186
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771359941402884,0.798480318883906,0.753175340026992,0.830236028214867,0.792197554697555,0.822236430804206,0.786706653154533,0.715728770117975,0.796248427156847,0.737162837162837
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79590785537862,0.741795685643707,0.784906992193988,0.776553691243049,0.814365165491047,0.785178035178035,0.797620062517761,0.785151186632415,0.754796276054427,0.773524262815252,0.714385614385614
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739018050401979,0.804264046965955,0.747795427127018,0.792949676133533,0.739808761737033,0.824199674443842,0.793591806091806,0.810187553282182,0.804294030308029,0.734753684369228,0.823451775261229,0.767421467421467
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818012650265586,0.733273423005566,0.799262123149102,0.765974177055208,0.805862813486132,0.75077768312643,0.823057967082655,0.771525096525096,0.80282750781472,0.803445594023238,0.761373487618258,0.768251819027299,0.744422244422244
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777857750166258,0.825766179759575,0.738235350958565,0.807655549901327,0.784407853162521,0.793883906327853,0.75957387750414,0.797861276903599,0.78246996996997,0.781365444728616,0.780732247649124,0.731295465681655,0.821783193828984,0.747730047730048
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841094032549729,0.78039161215917,0.799203242941012,0.724093614718615,0.810646774814134,0.767665307060378,0.809126390964956,0.74923667410052,0.82756074033882,0.796396396396396,0.794117647058823,0.812383634606773,0.783630470016207,0.847270091361672,0.758252858252858
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715876951331497,0.780602614130262,0.723985823841873,0.766599105395583,0.695505759121831,0.763845275478162,0.689722525420808,0.721877595083873,0.693042487820286,0.760369566528004,0.712687687687688,0.7173273657289,0.736749074968773,0.685292676491651,0.754123584441162,0.628171828171828
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833140910114891,0.752283440465259,0.805193363154722,0.723287117710938,0.796368290466872,0.707130295299938,0.776387320185183,0.749271126558281,0.765163594087361,0.750868612230443,0.790155694218364,0.760494422994423,0.758574879227053,0.783283448422144,0.686432852135238,0.813043656655178,0.748518148518148
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746813083913256,0.834203931065555,0.74410162228344,0.808496716474731,0.762713505231878,0.797469073245737,0.703356910946197,0.769833931164592,0.720403429654737,0.768493605713337,0.736291241134412,0.789002682823898,0.773702273702274,0.790203182722364,0.769785062807853,0.724576910029777,0.780889271842005,0.683949383949384
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760324151761961,0.743227138266403,0.819884827663888,0.748053259871442,0.801156371942515,0.734525342829002,0.799552697791445,0.719073709029066,0.783291340341819,0.746154564255759,0.760492443115761,0.758975659714578,0.790118014107434,0.788921063921064,0.770431940892299,0.7787113195541,0.713910142851758,0.776902456370699,0.733721833721834
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.796918530231157,0.740908811852822,0.729670774010939,0.8232006082451,0.720563207835935,0.794002411091019,0.744808108358377,0.788077474140341,0.717469658317873,0.753273591579888,0.66137904291377,0.736559541604385,0.726222039300516,0.746880086814976,0.75231123981124,0.764450127877238,0.750394758549174,0.656373676077042,0.740877509710597,0.715828615828616
"22",NA,NA,NA,NA,NA,NA,NA,0.782026768642447,0.82113545666742,0.748572627184546,0.724403583817489,0.801813471502591,0.75247015610652,0.797095587068938,0.733005867447871,0.812770827509086,0.722716643475572,0.779192369273542,0.71545211696444,0.783486962298621,0.767460780841716,0.80553671550009,0.79300193050193,0.813285024154589,0.785463458320568,0.714173985149448,0.765174517205536,0.738295038295038
"23",NA,NA,NA,NA,NA,NA,0.733915626856803,0.715567610831962,0.770903922897372,0.723442679981992,0.734996488539871,0.7916408537959,0.707640036730946,0.768789061260747,0.701791381501966,0.772906765445904,0.66222653834261,0.76002246521615,0.697122565634515,0.706958976914134,0.741603415105717,0.773730933863869,0.706665594165594,0.780164819551009,0.759698098088662,0.67942218536806,0.761960446413918,0.705128205128205
