"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247903790087464
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0676858832807571,0.026730029154519
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0936303191489362,0.0669289432176656,0.0292061224489796
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0828232946298984,0.0951929521276596,0.0693772082018927,0.0303399416909621
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0962079802955665,0.0833111030478955,0.094657579787234,0.0696453470031546,0.0341930029154519
NA,NA,NA,NA,NA,NA,NA,NA,0.110148648648649,0.100230147783251,0.087616473149492,0.100982114361702,0.0767910094637224,0.0449303206997085
NA,NA,NA,NA,NA,NA,NA,0.126605,0.109288480283562,0.0973866009852217,0.0840873730043541,0.0968642952127659,0.0732106466876972,0.0341113702623907
NA,NA,NA,NA,NA,NA,0.136300629425649,0.132319505813953,0.119791448825875,0.102386042692939,0.0906492743105951,0.100386103723404,0.0726641955835962,0.0373545189504373
NA,NA,NA,NA,NA,0.118308661417323,0.130610936270653,0.127456598837209,0.113693797075764,0.105113661740558,0.0899092162554427,0.0996573138297872,0.0817479495268139,0.0414186588921283
NA,NA,NA,NA,0.126438816035969,0.116976296497421,0.131836782061369,0.128021308139535,0.112069827204253,0.10374249589491,0.085932946298984,0.102598404255319,0.0758665615141956,0.0405740524781341
NA,NA,NA,0.141054658385093,0.133453802922443,0.115630627206082,0.133589457120378,0.130002209302326,0.110158396101019,0.103090574712644,0.0866862119013062,0.0992270611702128,0.0703006309148265,0.0401256559766764
NA,NA,0.133547889509621,0.143828541851523,0.135324578493818,0.110792831930491,0.139059834775767,0.136917325581395,0.112731413380594,0.103215402298851,0.0865350507982584,0.0963696808510638,0.0652832807570978,0.0266081632653061
NA,0.0357943132108486,0.136636933581626,0.148269624371488,0.142941738478831,0.114787483030138,0.143931589299764,0.140008662790698,0.113847540983607,0.101789917898194,0.0844286647314949,0.0990847074468085,0.0657212933753943,0.0225793002915452
