"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192575265251989
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0290987440315549,0.0204775530503979
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0326854629855851,0.0298966576707494,0.0212202420424403
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0549721081307628,0.0326063523088199,0.0306804546398173,0.0213340019893899
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0470078912171199,0.0547527032690696,0.0329306865379917,0.0314507473531244,0.0222253812997347
NA,NA,NA,NA,NA,NA,NA,NA,0.0467062632247143,0.047824275523852,0.054406307627829,0.033394918152944,0.0314580859456093,0.0225020059681698
NA,NA,NA,NA,NA,NA,NA,0.0572870494417863,0.046701840880237,0.0474698840838163,0.0541208298407376,0.032646408502321,0.0312142931285032,0.0218022214854111
NA,NA,NA,NA,NA,NA,0.0603935979971388,0.0573007336523126,0.0469097545493017,0.0477470575122604,0.054837384744342,0.0327296115318837,0.0311316690886444,0.0211944960212202
NA,NA,NA,NA,NA,0.0529159532483303,0.0607503755364807,0.0585088676236045,0.0470883834109183,0.0471945162728489,0.0550890402347024,0.0329040923527975,0.0310886651442807,0.0206134615384615
NA,NA,NA,NA,0.0470990205876474,0.0534671372191864,0.0619462804005722,0.0586581180223286,0.0472026237833263,0.0478596968345965,0.0545545683151718,0.0329146347422428,0.0304921320323853,0.0209697446949602
NA,NA,NA,0.0579802951735142,0.0469889766140316,0.0542140862173649,0.0632163447782546,0.0582342902711324,0.0493808294540838,0.0484156932679447,0.054548281642917,0.0336475201563645,0.0310493668258252,0.0245053381962865
NA,NA,0.0498658792372881,0.0601944688206356,0.048985958424945,0.0562547358834244,0.0663559012875537,0.0626210845295056,0.0518554591620821,0.0509238296923763,0.0578439019279128,0.0332038236012705,0.0311080548058958,0.0201572778514589
NA,0.00810803792250618,0.0498204131355932,0.0588722111421354,0.0481772736358185,0.0550144201578628,0.0647290236051502,0.0606215948963317,0.0497186203977994,0.0491959875167187,0.0568121123218776,0.0335460542389445,0.0309891426198879,0.0209709549071618
