"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0260756536897153
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0705028558679161,0.0265119116792562
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119842663476874,0.0725447568049978,0.0277578733294596
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0908293417627371,0.120090271132376,0.074205890227577,0.029586635676932
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130348624135281,0.091824209743399,0.119659330143541,0.075160374832664,0.0299796048808832
NA,NA,NA,NA,NA,NA,NA,NA,0.11228427622842,0.130543981552652,0.0938145407214578,0.123548564593301,0.075346229361892,0.0305966879721092
NA,NA,NA,NA,NA,NA,NA,0.144114315826454,0.114128472775564,0.13420759415834,0.0950561175158051,0.125141467304625,0.0772360107095047,0.0382520627542127
NA,NA,NA,NA,NA,NA,0.134482094389305,0.145626049534516,0.116379282868526,0.1362828132206,0.0973867236891038,0.126415018607124,0.0778421686746988,0.0410024985473562
NA,NA,NA,NA,NA,0.133507923566879,0.137833360340288,0.150236992798173,0.117395086321381,0.141614865488086,0.0974833395314243,0.128330303030303,0.0717480589022758,0.0289625798954096
NA,NA,NA,NA,0.0945571502770083,0.137990152866242,0.140668158800891,0.156567205339891,0.121600584329349,0.144757033051499,0.100134734101897,0.133947474747475,0.0795651494868362,0.0440350377687391
NA,NA,NA,0.124518595791001,0.0930846260387812,0.137097439490446,0.141430625886166,0.156304619708414,0.122004780876494,0.146426748654881,0.0990194867980662,0.135696916533759,0.0735562695225346,0.030526612434631
NA,NA,0.0856905808477237,0.122795174165457,0.0937926765927978,0.135503503184713,0.139197103504152,0.153855928333041,0.123293652058433,0.145971252882398,0.0997745630345853,0.133848272195641,0.0762139669790272,0.0413153399186519
NA,0.024002495485142,0.0859023547880691,0.12280658563135,0.0947208968144044,0.135981668789809,0.138850010127608,0.152860723695767,0.121953970783533,0.146178431975404,0.0993706582372629,0.133565629984051,0.0768905845604641,0.0389586868099942
