"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0781686015831135
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0956945222929936,0.083798944591029
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0891943100995733,0.100705987261146,0.0850529023746702
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121255680224404,0.0954069701280228,0.103855286624204,0.0869821899736148
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106998624484182,0.125894810659187,0.106048364153627,0.111520891719745,0.089387598944591
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110853984575835,0.107265612104539,0.125415147265077,0.0981598862019915,0.110528917197452,0.0901994722955145
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115896127562642,0.111581619537275,0.109579779917469,0.126472510518934,0.106152631578947,0.111810318471338,0.09858654353562
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150789430894309,0.119834282460137,0.114628663239075,0.112551444291609,0.132294249649369,0.100505974395448,0.12152152866242,0.103676781002639
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129651825677267,0.153716937669377,0.118778132118451,0.115829048843188,0.115362173314993,0.12714221598878,0.103699573257468,0.116042420382166,0.0928543535620053
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145863945578231,0.136513545347468,0.156791056910569,0.134541230068337,0.128264138817481,0.131517331499312,0.14432412342216,0.125992603129445,0.138386878980892,0.117000527704485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127013525026624,0.142872335600907,0.134204829210836,0.156539024390244,0.127380637813212,0.121807712082262,0.118248555708391,0.133128611500701,0.112204978662873,0.128243184713376,0.104012796833773
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158398084815321,0.128205750798722,0.147068594104308,0.136473498233216,0.156951761517615,0.131575512528474,0.123853213367609,0.134677854195323,0.144944880785414,0.12438733997155,0.146076433121019,0.11409036939314
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143823945578231,0.161784541723666,0.131330244941427,0.146615419501134,0.140427208480565,0.158256639566396,0.141883826879271,0.128484061696658,0.135845392022008,0.143760589060309,0.117742958748222,0.138687006369427,0.114028496042216
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148726515151515,0.144639591836735,0.163566621067031,0.134148455804047,0.160148412698413,0.145559835100118,0.164248780487805,0.1414215261959,0.137797686375321,0.142041403026135,0.150494389901823,0.128018065433855,0.150712866242038,0.126906464379947
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142747854356307,0.149959595959596,0.150058367346939,0.166442134062927,0.136183280085197,0.157994671201814,0.152395524146054,0.169534146341463,0.148316856492027,0.138615552699229,0.145145116918845,0.157998316970547,0.127540825035562,0.152884076433121,0.137657783641161
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186408854781582,0.149586736020806,0.151839898989899,0.150853197278912,0.166129411764706,0.141666134185303,0.16027947845805,0.151695995288575,0.173502032520325,0.149527904328018,0.143867095115681,0.149397524071527,0.160147545582048,0.124722475106686,0.155241656050955,0.129606992084433
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141094474153298,0.18240720188902,0.147938621586476,0.152421590909091,0.153423129251701,0.170542818057456,0.15301214057508,0.165394444444444,0.152574087161366,0.179515040650407,0.154678587699317,0.148604627249357,0.151983218707015,0.168972650771389,0.143144238975818,0.15455949044586,0.129213192612137
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186802184087363,0.143799286987522,0.183844391971665,0.146859167750325,0.148743308080808,0.152970884353741,0.165438577291382,0.149209584664537,0.168080952380952,0.149846643109541,0.170517073170732,0.158673462414579,0.137390745501285,0.143238239339752,0.155275736325386,0.128747226173542,0.145408280254777,0.125955277044855
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173750520059435,0.184590171606864,0.146087878787879,0.182446517119244,0.147108842652796,0.153628282828283,0.152284489795918,0.170543638850889,0.152495740149095,0.168467006802721,0.15010777385159,0.165072493224932,0.151249658314351,0.143811439588689,0.155080192572215,0.153543618513324,0.126594025604552,0.148264968152866,0.120543403693931
NA,NA,NA,NA,NA,NA,NA,NA,0.154369884726225,0.174889301634473,0.190484555382215,0.150093404634581,0.188868476977568,0.148399609882965,0.150341919191919,0.155611020408163,0.171494254445964,0.159863365282215,0.16107970521542,0.152542638398115,0.162393495934959,0.153075512528474,0.139515681233933,0.130689683631362,0.15441809256662,0.119344238975818,0.146665477707006,0.114888522427441
NA,NA,NA,NA,NA,NA,NA,0.156215447154472,0.156125216138329,0.172104309063893,0.192167082683307,0.15900623885918,0.188586304604486,0.152403641092328,0.154109343434343,0.159297278911565,0.165176060191518,0.148625985090522,0.158899659863946,0.146242402826855,0.157944579945799,0.1361930523918,0.13481028277635,0.125032737276479,0.142392426367461,0.107593883357041,0.127155796178344,0.112729155672823
