"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215521659253706
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193313069287856,0.213964264300591
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173514772895328,0.192242449533936,0.212759640506848
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187063285108429,0.187353308056164,0.200988021592287,0.223620154795601
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19061462140033,0.191349695972987,0.191363083546681,0.203858209805521,0.220261482754125
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228048268309304,0.193549418525285,0.192265691442898,0.189649219098698,0.205624477614711,0.213997722318181
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225120171682526,0.229589048967743,0.192370276565458,0.191748171826196,0.186123209619522,0.203920668764662,0.2046262076203
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224188362466125,0.225418106020661,0.230354910374189,0.192676047871191,0.191766638897713,0.185034451039452,0.203154896964558,0.200780308769453
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.197282071089273,0.22591155361797,0.229516299137898,0.233394948134784,0.199143577609609,0.200993791482792,0.188934625108278,0.211819654326409,0.190395354928512
"11",NA,NA,NA,NA,NA,NA,NA,0.236361219868765,0.20897355737078,0.234175109033149,0.236197958480844,0.246346001608616,0.22479622278304,0.230397702078966,0.21015926850792,0.227485907866063,0.200797157285421
"12",NA,NA,NA,NA,NA,NA,0.269397671313831,0.259218884352036,0.217368786656483,0.234324665243204,0.232858384076008,0.241057517964244,0.225282361018353,0.237861053006984,0.213895813453975,0.219533522906206,0.205551932457637
"13",NA,NA,NA,NA,NA,0.240087471608795,0.263728825176779,0.256757850848978,0.215510667690796,0.238533546030349,0.24345936776818,0.252056317102577,0.233414763022093,0.243806366064956,0.220313943400019,0.229704818200195,0.209107522817866
"14",NA,NA,NA,NA,0.266575717840699,0.246549733128439,0.255284512673958,0.242318218788212,0.215732205199474,0.240236085953343,0.2486022605055,0.255907278929623,0.221622200997073,0.240076455038784,0.209913908268616,0.222270160793159,0.192996482805545
"15",NA,NA,NA,0.221564802289178,0.264296734446316,0.237064692950787,0.256001318922529,0.258441148866013,0.279966918593652,0.309130743025702,0.297354640947186,0.322226316184066,0.296145064158613,0.349827472484979,0.250376482966535,0.289860412009511,0.238408058327937
"16",NA,NA,0.236781536487393,0.25265278156511,0.273834240744048,0.282877634604563,0.33723169244781,0.353332468859365,0.263456379464133,0.254790105873182,0.279222040524502,0.263326852834193,0.263547748751452,0.265172894731995,0.298823396560088,0.29198571087776,0.350346118902015
"17",NA,0.302196893816416,0.272511712969266,0.247557630200189,0.303848565747855,0.30165567891791,0.349893076548086,0.316895359979662,0.286304101543874,0.254290115497964,0.297236521580674,0.279031563375002,0.216601633206548,0.232601913790699,0.209287580072245,0.239028264560782,0.181314463984037
