"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135963265306122
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179482334384858,0.140247813411079
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179318683510638,0.181793690851735,0.150871137026239
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17125297532656,0.176493018617021,0.186899921135647,0.142752186588921
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185225484400657,0.165363570391872,0.176748869680851,0.183988012618297,0.136240524781341
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.182141027913159,0.184203842364532,0.162587300435414,0.176669813829787,0.180736987381703,0.150936734693878
"8",NA,NA,NA,NA,NA,NA,NA,0.173357441860465,0.169753699601241,0.182528177339901,0.166315239477504,0.170851263297872,0.179250552050473,0.138480466472303
"9",NA,NA,NA,NA,NA,NA,0.16559756097561,0.172794156976744,0.167197740363314,0.184867586206897,0.163682438316401,0.175129122340426,0.16979834384858,0.133913702623907
"10",NA,NA,NA,NA,NA,0.19259215313603,0.169388709677419,0.17119226744186,0.171012051395658,0.190373858784893,0.172430406386067,0.173551462765957,0.179673264984227,0.152382798833819
"11",NA,NA,NA,NA,0.166568452603972,0.190367825142547,0.167243273013375,0.168831569767442,0.161507842268498,0.181738653530378,0.159014586357039,0.168439561170213,0.170776025236593,0.142256851311953
"12",NA,NA,NA,0.171193729665779,0.163136043461971,0.167603774097203,0.16871191974823,0.169314331395349,0.174036818785999,0.176036486042693,0.156876269956459,0.152566356382979,0.153154179810726,0.131549271137026
"13",NA,NA,0.16582287399131,0.152780065069506,0.139080629449232,0.156061064349715,0.158262116443745,0.166806947674419,0.147817766947275,0.140383382594417,0.134829680696662,0.12858710106383,0.114731624605678,0.0848623906705539
"14",NA,0.176365813648294,0.189699099937927,0.200884619934931,0.191853690520794,0.216700217214228,0.230583556254917,0.209279040697674,0.210417146654852,0.200874581280788,0.202745718432511,0.230292154255319,0.201789353312303,0.21330612244898
