"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123671402519894
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130671860078887,0.121912649204244
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123129354996335,0.128248899730122,0.130031780503979
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142124727577536,0.124384803322746,0.132119856757318,0.129592224801061
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142757512260366,0.147507103939648,0.12571685805033,0.133715559476853,0.129442191644562
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.150211108760051,0.149622603655818,0.150925859178542,0.128095040312729,0.142497290844924,0.137316528514589
"8",NA,NA,NA,NA,NA,NA,NA,0.149054896331738,0.147774291155311,0.144337962550156,0.145898575020956,0.127634754458832,0.14175670541831,0.134791213527851
"9",NA,NA,NA,NA,NA,NA,0.154221870529328,0.149368644338118,0.149317647058824,0.148968056174766,0.149499643755239,0.130499059369656,0.142947591862155,0.132826143899204
"10",NA,NA,NA,NA,NA,0.159982164541591,0.154298211731044,0.147335470494418,0.148748180279306,0.141862906821222,0.144075628667225,0.125063266552651,0.134165497197426,0.128306034482759
"11",NA,NA,NA,NA,0.135865320807515,0.160713585306618,0.148763447782546,0.146957320574163,0.154087029200169,0.147646968345965,0.144084660519698,0.125830258978744,0.142194000415196,0.131306051061008
"12",NA,NA,NA,0.168165669458849,0.142791245252848,0.163714116575592,0.154438894849785,0.150753205741627,0.151337960220059,0.153265871600535,0.151727514668902,0.129849364769118,0.145469939796554,0.134743318965517
"13",NA,NA,0.190063675847458,0.178317723706954,0.157416230261843,0.179368381906497,0.175955722460658,0.167410271132376,0.174964494286923,0.180199621043246,0.168363956412406,0.141331993647691,0.168098671372223,0.166955470822281
"14",NA,0.166301236603462,0.190252574152542,0.176203696316979,0.158536618029182,0.187295522161506,0.178245404148784,0.159128803827751,0.164895979686839,0.17451348640214,0.166625984911987,0.150734986562424,0.176908023666182,0.175540881962865
