"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0900080185938408
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183978313253012,0.0910640906449739
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190737373737374,0.180836903168228,0.0889734456711214
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177511342506508,0.194875704412547,0.190408746095493,0.0942556072051133
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186301122213682,0.18030740052064,0.19654821903243,0.186533244087461,0.0984260313771063
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.167452509960159,0.183146179861645,0.182911379695054,0.195337905369484,0.180287907184293,0.0974807669959326
"8",NA,NA,NA,NA,NA,NA,NA,0.189184226242754,0.177513333333333,0.186989362029208,0.179904797322425,0.203184502923977,0.183016644355199,0.10151411969785
"9",NA,NA,NA,NA,NA,NA,0.196454932145027,0.187533655366239,0.175917795484728,0.192106994619523,0.184096615842321,0.202587293992557,0.180259170013387,0.108806914584544
"10",NA,NA,NA,NA,NA,0.182910802547771,0.201825926676119,0.188900825575268,0.175874077025232,0.18564092236741,0.191178988471551,0.200599069643806,0.174476394466756,0.0947157466589192
"11",NA,NA,NA,NA,0.177044286703601,0.188571184713376,0.186958598339072,0.181576690672756,0.162931155378486,0.180381106840892,0.166186500557828,0.181167224880383,0.155363766175814,0.115735328297501
"12",NA,NA,NA,0.190875272133527,0.172566932132964,0.186617477707006,0.190769313348187,0.186635025469875,0.162945073041169,0.172157386625673,0.16355370026032,0.191605741626794,0.164504908522981,0.0941306217315514
"13",NA,NA,0.183922880690738,0.190275163280116,0.179374394044321,0.19289578343949,0.19291367227061,0.196531020551555,0.17833577689243,0.183566272098386,0.186788657493492,0.20242841573631,0.17834484605087,0.118441138872748
"14",NA,0.213361237891972,0.205084811616954,0.207215221335269,0.20618550900277,0.217025464968153,0.212648754304233,0.213178341823292,0.224932961487384,0.196451714066103,0.221448456675344,0.225925571504519,0.200050914770192,0.127082045322487
