"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13809327176781
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158714140127389,0.13817691292876
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129743812233286,0.163009044585987,0.138534828496042
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166365778401122,0.137829160739687,0.163102165605096,0.140202110817942
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14890742778542,0.169108134642356,0.142922190611664,0.175989299363057,0.151193799472296
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130666452442159,0.152249656121045,0.168814305750351,0.136905405405405,0.172743694267516,0.138688522427441
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15201993166287,0.136635475578406,0.163741678129298,0.181410378681627,0.146051778093883,0.176070700636943,0.151000131926121
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17375379403794,0.156671753986333,0.139170694087404,0.168784044016506,0.177224403927069,0.143077240398293,0.178874522292994,0.157475197889182
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160174440518257,0.17460298102981,0.156635307517084,0.147539203084833,0.167325447042641,0.179240673211781,0.139024608819346,0.159983821656051,0.130327836411609
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188302947845805,0.168339458186101,0.187364498644986,0.183717653758542,0.168695115681234,0.183184731774415,0.206982047685835,0.192599715504979,0.224956815286624,0.186504221635884
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152266347177849,0.178029931972789,0.165863839811543,0.17890298102981,0.157895330296128,0.148332390745501,0.164740715268226,0.173368022440393,0.1408893314367,0.169748789808917,0.145896833773087
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178659917920657,0.152012886048988,0.179909750566893,0.166814487632509,0.187307994579946,0.165926309794989,0.149489845758355,0.160341953232462,0.172966900420757,0.143144238975818,0.185269171974522,0.147311081794195
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162066666666667,0.182491244870041,0.152326198083067,0.181883673469388,0.174610600706714,0.190930487804878,0.171905580865604,0.160881105398458,0.176166574965612,0.189421037868163,0.158095590327169,0.201306242038217,0.161022691292876
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164620580808081,0.15964843537415,0.181717920656635,0.155570926517572,0.184316666666667,0.170527090694935,0.191268428184282,0.168511958997722,0.158938946015424,0.174675653370014,0.180749789621318,0.14698079658606,0.185685222929936,0.15941437994723
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165685955786736,0.165323737373737,0.16926,0.182445143638851,0.159745473908413,0.18352619047619,0.174522143698469,0.192372899728997,0.173482118451025,0.162979177377892,0.172151581843191,0.179870827489481,0.151719630156472,0.180504713375796,0.150959894459103
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18875572609209,0.16843511053316,0.170453787878788,0.168992517006803,0.185501504787962,0.158125026624068,0.190431972789116,0.171848527679623,0.185919647696477,0.175940774487472,0.164682519280206,0.176456258596974,0.183941374474053,0.151695021337127,0.191890445859873,0.160053166226913
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158863992869875,0.186249940968123,0.16876944083225,0.170230934343434,0.170181360544218,0.186367989056088,0.16661661341853,0.189958616780045,0.173848056537102,0.188057452574526,0.169614806378132,0.163987917737789,0.180214580467675,0.18861935483871,0.161469843527738,0.197011974522293,0.160939313984169
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187147425897036,0.159904812834225,0.18683199527745,0.170774122236671,0.16855101010101,0.169629659863946,0.191035430916553,0.169417145899894,0.20035306122449,0.177660070671378,0.190002303523035,0.177047038724374,0.165732133676093,0.171037551581843,0.180210098176718,0.147134423897582,0.201367388535032,0.161387071240106
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182990490341753,0.183711856474259,0.160451336898396,0.186373435655254,0.171932119635891,0.171267424242424,0.16856,0.179292749658003,0.171947603833866,0.193987528344671,0.169519552414605,0.183707317073171,0.174680979498861,0.156653084832905,0.169593397524072,0.181901402524544,0.154620341394026,0.182638598726115,0.156471372031662
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.175771902017291,0.185648885586924,0.190946177847114,0.165798573975045,0.187263518299882,0.17156944083225,0.174644444444444,0.175584217687075,0.176398084815321,0.1674404685836,0.195661224489796,0.175544876325088,0.188054742547425,0.168402961275626,0.168408997429306,0.179218294360385,0.176957924263675,0.16201266002845,0.18589974522293,0.163465435356201
"22",NA,NA,NA,NA,NA,NA,NA,0.186668970189702,0.180514265129683,0.189495988112927,0.190985647425897,0.17561889483066,0.198070720188902,0.185982314694408,0.190530050505051,0.178465714285714,0.187959097127223,0.180013205537806,0.198950566893424,0.179587043580683,0.195035636856369,0.167531890660592,0.173886632390746,0.178495735900963,0.190025525946704,0.16652560455192,0.189935414012739,0.177202770448549
"23",NA,NA,NA,NA,NA,NA,0.192124511278195,0.205991056910569,0.195086887608069,0.198923328380386,0.192227925117005,0.18044688057041,0.204459386068477,0.199400650195059,0.185060732323232,0.183348571428571,0.195012585499316,0.187065388711395,0.209616780045351,0.196456537102473,0.190512601626016,0.192651025056948,0.178400128534704,0.187423246217332,0.192179382889201,0.183804978662873,0.20794178343949,0.182137335092348
"24",NA,NA,NA,NA,NA,0.206472756410256,0.191644360902256,0.202728590785908,0.20408674351585,0.202291084695394,0.193907800312012,0.173480570409982,0.205448406139315,0.188938361508453,0.185058333333333,0.185311156462585,0.187869493844049,0.194336954206603,0.204109523809524,0.202003180212014,0.208296612466125,0.200562528473804,0.173826606683805,0.220581705639615,0.194717110799439,0.18031906116643,0.230295668789809,0.206476781002639
"25",NA,NA,NA,NA,0.217392293577982,0.221161698717949,0.214820902255639,0.228889566395664,0.218264265129683,0.239145765230312,0.221938533541342,0.220392869875223,0.235589020070838,0.238225877763329,0.22564898989899,0.22281306122449,0.247259781121751,0.225872204472843,0.2734320861678,0.259575382803298,0.250439430894309,0.247880637813212,0.236877377892031,0.261145804676754,0.264353856942496,0.257208961593172,0.281170955414013,0.283508970976253
"26",NA,NA,NA,0.222627935222672,0.22625376146789,0.235059775641026,0.23075037593985,0.232621544715447,0.237038472622478,0.239029866270431,0.23579984399376,0.217652941176471,0.237549468713105,0.264622236671001,0.230060101010101,0.231496870748299,0.262072229822161,0.251444728434505,0.263131972789116,0.263450294464075,0.271485365853659,0.241614578587699,0.293855655526992,0.312490508940853,0.268173071528752,0.28875960170697,0.299087388535032,0.275478496042216
"27",NA,NA,0.206984951456311,0.244627732793522,0.25394495412844,0.253873557692308,0.250960902255639,0.223826016260163,0.23950288184438,0.256304754829123,0.259139313572543,0.24750944741533,0.255763754427391,0.263920806241873,0.272352651515152,0.237180952380952,0.268070588235294,0.281193716719915,0.30479977324263,0.268553239104829,0.294678861788618,0.267564009111617,0.290212982005141,0.332390096286107,0.279499579242637,0.284036842105263,0.308423057324841,0.313714248021108
"28",NA,0.205881996086106,0.215827669902913,0.224187449392713,0.228884220183486,0.250289743589744,0.224113233082707,0.223667886178862,0.234011959654179,0.229791827637444,0.217917628705148,0.21940623885918,0.214688547815821,0.204477373211964,0.213941666666667,0.222731020408163,0.234464569083447,0.239591693290735,0.220946145124717,0.240140753828033,0.251477371273713,0.244867198177677,0.238040745501285,0.250055020632737,0.233909396914446,0.236257894736842,0.252323949044586,0.250644591029024
