"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165285131195335
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183909621451104,0.128130029154519
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195087765957447,0.194931230283912,0.163136151603499
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200300362844702,0.19302852393617,0.206374447949527,0.186888629737609
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212347093596059,0.188813642960813,0.210663430851064,0.223528470031546,0.201090670553936
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.19355290208241,0.210689950738916,0.196067416545718,0.199564960106383,0.232031703470032,0.202889795918367
"8",NA,NA,NA,NA,NA,NA,NA,0.208657180232558,0.20752077979619,0.220091592775041,0.209381059506531,0.206854255319149,0.212370899053628,0.189569679300292
"9",NA,NA,NA,NA,NA,NA,0.192021361132966,0.199190523255814,0.195781479840496,0.208559441707718,0.188319521044993,0.203420877659574,0.219608832807571,0.182639941690962
"10",NA,NA,NA,NA,NA,0.223537007874016,0.196257592446892,0.204258575581395,0.212692202038104,0.230606830870279,0.216117489114659,0.218876595744681,0.236078627760252,0.223236734693878
"11",NA,NA,NA,NA,0.186369614087673,0.218557969046973,0.195335287175452,0.196880058139535,0.187986132033673,0.211808505747126,0.205350870827286,0.205895345744681,0.212600394321767,0.186016034985423
"12",NA,NA,NA,0.191026323572907,0.190437654552267,0.19888623404833,0.189337883556255,0.190383430232558,0.20359025254763,0.204395435139573,0.194840566037736,0.195899933510638,0.205442192429022,0.186168804664723
"13",NA,NA,0.174450620732464,0.158804968944099,0.147685237916823,0.161108851479772,0.15705295043273,0.169683779069767,0.152690208241028,0.152930935960591,0.143299129172714,0.142460039893617,0.126777839116719,0.0902081632653061
"14",NA,0.175688363954506,0.199363749224084,0.196816208222419,0.184804308729861,0.227122535976106,0.215838709677419,0.217579796511628,0.195756092157732,0.215958883415435,0.189078156748911,0.215900465425532,0.232844400630915,0.216444023323615
