"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145841014588859
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177082156944156,0.173188279177719
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174558685560713,0.168790917583558,0.164010311671088
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158073533109807,0.136098436354752,0.1436824891011,0.127393103448276
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150736000891663,0.146430951383068,0.125095822135353,0.127711988789703,0.127186604774536
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.172323889123995,0.172235287561302,0.165905155071249,0.144495431224041,0.161574465434918,0.151286588196286
"8",NA,NA,NA,NA,NA,NA,NA,0.164417639553429,0.168896826068557,0.166044315648685,0.160779086336966,0.147487979477156,0.163911148017438,0.161546982758621
"9",NA,NA,NA,NA,NA,NA,0.183615915593705,0.181070845295056,0.175214790520525,0.180251627284886,0.191925272422464,0.149536305888102,0.189225503425368,0.184153730106101
"10",NA,NA,NA,NA,NA,0.178037279902854,0.183058977110157,0.173365805422648,0.179678311468472,0.173284150691039,0.162013956412406,0.149331297336917,0.151159559892049,0.164267141909814
"11",NA,NA,NA,NA,0.153280181890865,0.167751851851852,0.16354152360515,0.166610622009569,0.164253829877275,0.16274505127062,0.165685834031852,0.148514585878329,0.158738789703135,0.148062185013263
"12",NA,NA,NA,0.171672344103178,0.148439316410154,0.163937902246509,0.154609495708155,0.159772472089314,0.159986775285654,0.157621600534998,0.146915192791282,0.135084815538725,0.13979873365165,0.147475232095491
"13",NA,NA,0.198293379237288,0.196200039888313,0.181807355586648,0.194394975713418,0.201111570100143,0.191733205741627,0.192347439695303,0.190055572893446,0.186046647108131,0.163432091375519,0.187862071828939,0.181165301724138
"14",NA,0.162009865347623,0.192777224576271,0.174931365509906,0.155429032580452,0.176134987856709,0.175806097997139,0.152901818181818,0.174909944985188,0.178671154703522,0.175563935456832,0.150243549963352,0.170002771434503,0.164307211538462
