"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102760429982568
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158944355198572,0.0853613015688553
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200444497607655,0.188548906738063,0.0957962812318419
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177761509854965,0.19271004784689,0.19285421686747,0.0955874491574666
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195677724827056,0.199224693194496,0.217877963849017,0.20591802766622,0.10789930273097
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.174790544488712,0.185452774788624,0.185182000743771,0.198054120148857,0.198269165551093,0.103128413712958
"8",NA,NA,NA,NA,NA,NA,NA,0.189134639030388,0.184505922974768,0.194971222136818,0.195358609148382,0.199901887293993,0.188220214190094,0.113316095293434
"9",NA,NA,NA,NA,NA,NA,0.202972797245291,0.198638169682066,0.184851606905711,0.192772498078401,0.186390554109334,0.210536629452419,0.198594199018295,0.1163811737362
"10",NA,NA,NA,NA,NA,0.199326280254777,0.230473830261292,0.210504918320745,0.207262337317397,0.210491006917756,0.224709892153217,0.237619696969697,0.235619232485498,0.113858338175479
"11",NA,NA,NA,NA,0.179590131578947,0.190041082802548,0.186326453311728,0.182641278763394,0.171716865869854,0.175605103766334,0.166902528821123,0.19120730994152,0.155064747880411,0.112386228936665
"12",NA,NA,NA,0.20592273222061,0.185806907894737,0.188010305732484,0.200964593882925,0.189359213068681,0.174989057104914,0.189933897002306,0.182047415396058,0.192599362041467,0.179057385095939,0.0972106914584544
"13",NA,NA,0.183765718210361,0.189090076197388,0.178877094875346,0.197220101910828,0.201660036459388,0.192649376427191,0.185776626826029,0.187621414296695,0.19188136853849,0.203169457735247,0.195190495314592,0.122473736199884
"14",NA,0.21383318010179,0.201766581632653,0.200899092888244,0.216240893351801,0.210473808917197,0.21627828640875,0.2146649042684,0.211723373173971,0.201028885472713,0.205428969877278,0.216554066985646,0.208941543953592,0.122788204532249
