"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191917941952507
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193935923566879,0.204883509234829
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125633712660028,0.150665859872611,0.142350659630607
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183449228611501,0.158549644381223,0.181934267515924,0.182534564643799
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182390371389271,0.18714095371669,0.162540825035562,0.19802178343949,0.192300791556728
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150935861182519,0.154397386519945,0.176030995792426,0.148595021337127,0.172922802547771,0.178927440633245
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178349088838269,0.154284575835476,0.187768088033012,0.186133239831697,0.174769985775249,0.213875796178344,0.181472823218997
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202537669376694,0.179095671981777,0.16496735218509,0.201084456671252,0.208577699859748,0.17319786628734,0.218630955414013,0.219133905013193
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174905300353357,0.193167344173442,0.1683930523918,0.16012236503856,0.195483081155433,0.19839523141655,0.143730014224751,0.176633503184713,0.172849208443272
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219605782312925,0.197437926972909,0.222495528455285,0.199823804100228,0.200480976863753,0.212540027510316,0.247600140252454,0.245573115220484,0.27546050955414,0.230024670184697
